team_title,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
Alaves,569,37150,35,39.73983262106776,21,24.21611546771601,346,252,83,7,30,33.79385992884636,74.55422800732777,35.91910308459774
Athletic_Club,589,37415,42,43.0492924018763,31,31.67476885439828,400,302,79,2,39,40.07643745979294,129.62813625158742,82.5356822651811
Atletico_Madrid,540,37015,65,58.315236079506576,53,44.101213932503015,455,345,91,0,60,53.112303915433586,201.89264504238963,130.79499291814864
Barcelona,574,37523,80,86.84727075649425,51,59.608193897176534,581,452,66,2,76,80.90116610331461,306.31846515322104,220.10254611540586
Cadiz,582,36418,32,34.68588852416724,16,20.442164169624448,294,186,73,3,28,31.712905290536582,62.15424132999033,29.963835873641074
Celta_Vigo,537,35955,55,51.544601605739444,37,35.403097711037844,347,253,97,5,48,46.342040037270635,164.6245478298515,103.43177893431857
Eibar,539,35331,25,39.89807548234239,17,22.9325658287853,413,260,61,3,21,33.208834445569664,77.88748003914952,42.337763155810535
Elche,570,37476,33,30.604351098649204,25,22.45353553351015,268,191,95,3,31,28.374517018906772,72.73688334971666,40.871503157541156
Getafe,508,34410,24,33.62204942619428,11,20.997201609425247,314,227,108,7,21,29.90591646498069,61.25202777469531,31.317466442473233
Granada,585,37265,46,41.97528891218826,29,26.34812963847071,356,221,94,6,43,38.25928982300684,77.58219652250409,37.24096466694027
Levante,602,37605,46,41.27361879777163,35,29.48191122431308,383,286,68,1,43,36.81408219691366,140.54847531951964,92.7089464738965
Osasuna,575,36507,36,40.11501965718344,21,24.116846723482013,371,245,69,5,31,35.65535218315199,92.7191504985094,52.70007977914065
Real_Betis,573,37466,50,51.080305794253945,33,33.67948624165729,443,336,85,8,42,42.904760370031,123.62897945474833,76.38746338523924
Real_Madrid,555,37542,63,65.85800634883344,52,49.64551339717582,546,437,57,2,60,63.62817450426518,201.06619755830616,129.0888095172122
Real_Sociedad,584,37235,56,63.01831880770624,36,40.502844067290425,422,300,76,1,47,54.099111277610064,170.6206373339519,108.53180981706828
Real_Valladolid,560,35834,33,36.257438958622515,20,20.54576618783176,350,244,88,3,26,30.31134573649615,90.47659709770232,53.27709151059389
SD_Huesca,589,37633,33,38.57915273681283,23,25.38773969653994,404,291,67,2,30,35.606044825166464,102.28704122407362,63.82280856277794
Sevilla,596,37399,52,56.36882601585239,36,41.835811568424106,458,383,74,2,46,51.166268832050264,164.1429927079007,101.34251585137099
Valencia,558,37052,48,42.290750914253294,35,26.618383430875838,391,281,75,5,40,34.858230822719634,98.29698984604329,55.54140795953572
Villarreal,569,37308,57,56.31368012353778,33,41.274026880040765,397,308,64,2,45,46.65120218321681,185.75974966678768,122.67182126548141
