team_title,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
AC_Milan,554,36903,72,76.12039959151298,47,46.46741545479745,551,403,79,4,57,60.89466450084001,168.64115373790264,98.17536350060254
Atalanta,589,37353,90,83.06145233521238,66,61.49347206298262,621,485,66,3,84,77.73240104923025,261.2710452992469,159.62817444093525
Benevento,581,36436,40,39.05020441766828,27,25.78632950503379,410,294,85,5,35,33.721192109398544,85.55075266584754,47.80945497751236
Bologna,588,37449,49,59.199521833099425,37,41.0997686968185,496,373,77,4,46,56.1543227666989,160.09107376355678,93.82970906747505
Cagliari,512,33374,42,43.4096788847819,29,27.39608429186046,360,262,62,3,38,39.6031884374097,111.34884190559387,64.08994075655937
Crotone,526,35729,40,36.84501669090241,23,20.925932111684233,332,251,83,4,31,29.99340435769409,89.5098900841549,53.21765499655157
Fiorentina,559,36607,43,45.7415171302855,30,31.89686234202236,360,259,84,4,37,41.173763203434646,111.958156876266,64.50347188767046
Genoa,578,36184,45,39.612401477992535,32,28.549943323712796,331,243,80,2,41,36.56721039861441,119.15485841268674,67.02213189471513
Inter,550,36433,81,77.52357100974768,61,54.93157711531967,541,415,55,2,73,70.67187678348273,244.70996380597353,156.69758571498096
Juventus,532,35139,68,77.48384333588183,52,55.735757330432534,528,424,71,4,60,69.87100961059332,245.45817449968308,162.91058561205864
Lazio,603,37374,59,59.52014859486371,41,40.03878330113366,525,392,97,5,53,51.907159191556275,179.54594016401097,107.13720267871395
Napoli,582,37508,83,75.90499295433983,55,51.881670823320746,645,481,70,3,76,69.81459294212982,229.24682429246604,143.4697616538033
Parma_Calcio_1913,554,35406,39,41.85207779612392,26,29.822651907801628,386,273,81,1,34,38.04570296127349,120.75001454725862,74.12425323855132
Roma,571,37575,67,72.87687102612108,49,54.731314830482006,544,408,85,3,60,66.78656643908471,229.1700218534097,140.89998236391693
Sampdoria,567,37338,52,46.952286780346185,36,31.599157511256635,420,312,81,3,47,42.3846984882839,107.18377509713173,58.845509310252964
Sassuolo,598,37506,61,61.77008641138673,35,37.072035553865135,530,381,73,4,48,51.112091795541346,170.9217436062172,104.23905993904918
Spezia,577,36744,50,48.03967633470893,36,31.50592151284218,375,279,90,4,46,44.233170207589865,118.6943729268387,64.03247874416411
Torino,514,34575,43,45.90420121746138,24,30.49294819450006,404,275,67,2,38,41.33645154023543,113.17100931238383,65.22597300913185
Udinese,523,35405,37,38.42860998865217,29,30.67129352968186,353,269,60,2,33,35.38341426104307,117.46209709532559,74.59564572107047
Verona,523,33677,37,41.56662715226412,30,33.72097011609003,351,292,77,1,34,39.28277009911835,131.53457467304543,83.428429343272
