team_title,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
Augsburg,516,32465,47,48.76102454494685,34,30.258127233944833,420,294,65,3,42,43.45658778119832,112.95937506575137,61.882953624241054
Bayer_Leverkusen,508,33615,87,82.39934789389372,71,62.824285422451794,617,490,59,0,79,76.33729586750269,279.0742939347401,179.41409723553807
Bayern_Munich,517,33589,93,95.08569410815835,71,73.22393658198416,638,508,45,2,88,91.2968107201159,336.7927996367216,219.02550582773983
Bochum,520,33603,41,51.96609979495406,28,35.256241826340556,524,367,98,2,37,48.93499311245978,105.91129572037607,50.45107567310333
Borussia_Dortmund,498,31234,56,57.94333296827972,39,48.834279987961054,458,351,54,4,53,55.67000292055309,185.3425330556929,121.65907379612327
Borussia_M.Gladbach,516,32215,50,46.291960591450334,40,35.84727811673656,416,348,61,2,45,41.7453005220741,142.77366686146706,91.92667324235663
Darmstadt,523,32496,26,34.48888280708343,18,20.579781111329794,389,275,80,4,23,32.215552740730345,92.86578511819243,56.810960499569774
Eintracht_Frankfurt,518,33165,48,50.92753849271685,34,38.37986545544118,396,291,59,5,46,49.411985197104514,147.02076660562307,84.58747816458344
FC_Cologne,534,33571,28,44.94368699193001,17,30.406287170015275,447,319,64,4,23,40.39718836545944,95.39165749400854,53.62904143985361
FC_Heidenheim,530,33691,46,43.028711111750454,34,30.6097379992716,395,278,54,1,44,40.755380952265114,79.94813114358112,39.3008915935643
Freiburg,515,33502,43,53.62802923377603,29,34.35896144062281,401,295,62,4,36,46.80803913343698,132.2750493772328,76.59080648142844
Hoffenheim,465,29334,63,54.011601250618696,45,38.219006470404565,414,319,71,5,57,49.46494112536311,150.96230248175561,87.93392447754741
Mainz_05,498,31982,37,48.983537510968745,27,33.09798738034442,434,288,92,2,36,45.95243077073246,122.19542750623077,66.43965186644346
RasenBallsport_Leipzig,534,33638,74,73.90952714858577,53,51.385184914804995,534,403,59,1,70,68.60509053943679,241.33960691886023,158.17597837466747
Union_Berlin,506,30792,29,38.278869601897895,23,28.535259001888335,367,281,53,7,26,33.73220947664231,104.67237314023077,61.411098847165704
VfB_Stuttgart,500,30954,77,78.41097349207848,55,53.99045086000115,517,360,49,1,72,72.34876004513353,248.508355489932,152.77863989584148
Werder_Bremen,524,33448,45,47.595641078427434,33,36.67327992897481,407,316,71,2,40,43.0489808190614,149.4836460473016,92.24283634219319
Wolfsburg,516,32873,40,44.09080644650385,25,31.28720603697002,403,300,81,5,38,41.81747642857954,140.24443666823208,92.77197652030736
