team_title,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
Brest,499,33000,51,52.14144642697647,33,37.799359960481524,474,346,76,4,47,49.1010657553561,146.1765382811427,86.10633034585044
Clermont_Foot,482,30007,25,34.934042665176094,14,19.963119081687182,366,264,52,6,19,28.853281612508,89.61978942435235,55.320199156180024
Le_Havre,537,33493,33,40.09037820156664,22,25.362769901752472,389,292,61,6,27,34.769777838140726,94.8529651965946,53.98894340638071
Lens,504,31715,36,48.63229701574892,26,39.66134593542665,434,351,66,3,31,44.07172620948404,169.7252854993567,110.63636460714042
Lille,502,33564,50,59.60056996252388,32,39.6426290506497,441,325,65,3,48,57.320284507237375,151.7796078780666,91.07222537416965
Lorient,509,33079,40,38.956600366625935,27,27.67992750182748,354,267,66,1,39,38.19650518754497,119.11534272693098,71.72775117959827
Lyon,487,31771,48,56.10224148770794,32,38.727542666718364,429,318,53,6,44,53.061860972549766,142.79841461405158,82.41535677574575
Marseille,485,32213,49,60.8843795992434,31,40.50722261145711,474,334,55,5,45,57.843998942524195,175.0137244737707,107.45553740020841
Metz,512,33638,35,34.69294767687097,25,22.41691268933937,331,233,54,3,31,30.132376907858998,76.52374003687873,40.13653660286218
Monaco,493,33235,67,66.18791170651093,44,43.529672015458345,516,367,69,8,65,62.38743610912934,186.06971005070955,106.8904217062518
Montpellier,513,33633,42,51.218996403738856,27,32.545052299275994,449,309,65,5,35,45.89833043701947,109.18445332767442,57.819301119074225
Nantes,498,31465,29,37.296011683531106,16,25.58302602544427,356,244,65,3,25,34.25563111063093,109.16784383077174,62.595658568665385
Nice,525,33454,39,55.36998387798667,23,38.35987795423716,454,318,62,4,33,50.04931798949838,160.55055819638073,99.25852138269693
Paris_Saint_Germain,490,32142,74,68.8176041636616,54,49.41649793367833,482,397,48,2,67,61.97674777545035,249.01971171982586,170.4415657557547
Reims,513,32207,40,47.917607734911144,28,35.03649424389005,405,302,62,3,37,44.877227178774774,133.50768480077386,79.08543857373297
Rennes,497,31103,53,56.817353434395045,28,32.57300087623298,473,326,54,4,43,48.45630698977038,130.68118939734995,75.50481183454394
Strasbourg,515,33665,36,43.301245520822704,24,31.17815975053236,366,277,57,2,33,40.260864961892366,120.1248195823282,65.937286243774
Toulouse,506,32167,42,45.10961472801864,29,29.534920400939882,392,283,69,1,36,38.268758503720164,107.45406015310436,63.74631443247199
