,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14174,a,1,1,1,0.618787,2.46928
1,14185,h,3,1,0,0.163242,1.3741
2,15160,a,0,0,1,1.02247,0.346071
3,15172,h,0,1,4,1.21235,3.29447
4,15182,a,0,1,2,0.664903,2.77748
5,15188,h,0,0,2,0.255813,2.75909
6,15197,a,0,0,5,0.259002,2.25166
7,15207,h,0,1,2,0,1.32693
8,15213,a,0,1,2,1.76313,2.84171
9,15229,h,3,2,1,1.18485,2.54193
10,15235,a,0,0,2,0.238384,2.43027
11,15243,h,0,0,1,0.702085,0.370523
12,15254,a,3,1,0,0.89989,0.338524
13,15264,h,0,0,1,0.707828,1.88594
14,15274,h,3,1,0,0.623296,0.603143
15,15277,a,1,0,0,0.596397,0.655307
16,15292,h,3,3,0,1.8577,1.32249
17,15301,h,0,1,5,0.328715,2.56406
18,15308,a,0,1,3,0.949382,1.50709
19,15320,a,1,3,3,1.71797,2.29294
20,15337,h,0,0,3,0.319638,1.67634
21,15339,a,0,0,3,0.636679,2.50855
22,15350,h,1,0,0,0.213406,1.49282
23,15319,h,0,0,2,2.49186,1.64589
24,15358,a,3,2,1,2.28117,2.37314
25,15373,h,0,0,1,0.290363,2.509
26,15380,a,1,1,1,0.376815,2.45668
27,15390,h,3,1,0,1.35635,0.4306
28,15400,a,1,0,0,0.824002,0.752755
29,15408,h,3,1,0,2.29829,0.252122
30,15411,a,0,0,5,0.594905,3.75166
31,15424,a,1,0,0,0.501126,0.757903
32,15436,h,1,1,1,1.65894,1.57706
33,15445,a,3,2,0,1.52995,0.844397
