,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14175,a,3,3,1,1.42046,1.04515
1,14184,h,3,2,0,1.44779,1.5267
2,15165,a,1,0,0,1.80757,1.31989
3,15170,h,0,0,2,0.550472,2.39694
4,15184,a,0,1,3,0.342366,2.6291
5,15187,h,3,3,1,1.78716,1.01141
6,15199,h,0,0,3,0.350601,2.51682
7,15204,a,1,1,1,0.813971,1.70506
8,15219,h,1,1,1,0.385539,0.470106
9,15222,a,0,1,3,0.793064,1.45954
10,15238,h,1,2,2,1.25437,1.90769
11,15243,a,3,1,0,0.370523,0.702085
12,15256,h,0,0,2,1.44889,2.37301
13,15262,a,3,1,0,1.23997,0.454651
14,15273,h,0,1,4,0.97454,4.01214
15,15282,a,0,0,2,0.943511,1.20083
16,15291,h,0,0,1,1.21994,1.98194
17,15300,h,3,2,1,0.94986,1.62585
18,15303,a,0,1,3,0.305739,1.92275
19,15318,h,0,0,2,0.384821,2.19806
20,15322,a,0,1,2,0.938388,2.26243
21,15336,h,1,1,1,0.931657,0.397505
22,15344,a,3,1,0,1.27616,0.454814
23,15347,a,0,1,2,0.836158,2.68531
24,15362,h,3,3,1,1.14857,2.30606
25,15367,a,0,0,2,0.821272,2.06607
26,15382,h,3,2,1,0.560474,0.754596
27,15387,a,0,0,1,1.14952,0.858301
28,15400,h,1,0,0,0.752755,0.824002
29,15404,a,0,0,2,1.41189,1.16892
30,15418,h,0,2,3,1.84086,1.82475
31,15427,a,0,1,2,2.11055,1.62191
32,15435,h,3,2,0,1.70665,0.602641
33,15437,a,0,2,5,1.73838,4.85963
