,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14181,a,1,0,0,0.441229,1.27652
1,14187,h,1,1,1,0.91247,1.20453
2,15161,a,1,1,1,1.69772,0.799979
3,15171,a,3,1,0,0.454109,0.214962
4,15184,h,3,3,1,2.6291,0.342366
5,15191,a,3,4,2,1.34088,1.18284
6,15202,h,3,4,3,1.53904,3.02085
7,15207,a,3,2,1,1.32693,0
8,15215,h,1,0,0,1.04196,0.517533
9,15226,a,3,3,0,2.45305,1.22701
10,15233,h,3,4,1,2.12151,1.67451
11,15241,a,3,4,0,1.93376,0.251532
12,15250,h,0,1,2,0.307742,1.41401
13,15260,a,0,1,2,0.752325,1.34155
14,15268,h,1,1,1,0.588228,0.481943
15,15280,a,0,0,1,0.794473,1.21832
16,15286,h,3,2,1,1.82076,1.25761
17,15294,h,0,0,1,0.572384,1.0586
18,15304,a,0,0,1,0.905761,1.68828
19,15312,h,3,5,2,4.60657,1.30625
20,15323,h,1,2,2,1.75183,2.27515
21,15336,a,1,1,1,0.397505,0.931657
22,15341,h,0,1,2,1.15987,1.47636
23,15352,a,3,1,0,1.36843,0.544034
24,15358,h,0,1,2,2.37314,2.28117
25,15369,a,0,0,3,2.00246,2.00238
26,15377,h,3,2,1,0.861271,1.05068
27,15384,a,1,0,0,0.32178,0.0916581
28,15395,h,3,3,0,1.98802,0.828829
29,15401,a,0,0,2,0.540312,1.89266
30,15412,h,3,3,1,2.08585,1.83222
31,15426,a,1,0,0,1.05171,0.552662
32,15430,h,1,1,1,1.56402,1.53974
33,15438,a,0,1,3,1.56956,1.62981
