,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14176,h,0,2,3,2.40801,2.9032
1,14185,a,0,0,1,1.3741,0.163242
2,15159,h,0,1,3,0.244959,2.0629
3,15174,h,1,1,1,1.41695,1.54892
4,15176,a,1,1,1,2.37516,0.722179
5,15186,h,0,1,2,0.681548,0.992927
6,15194,a,1,1,1,0.399372,1.35118
7,15211,h,0,1,2,1.08472,1.89238
8,15212,a,3,2,1,1.59253,2.76041
9,15227,h,1,2,2,1.08565,1.90682
10,15237,a,3,1,0,0.838955,1.26169
11,15241,h,0,0,4,0.251532,1.93376
12,15248,a,1,0,0,0.205395,1.57839
13,15262,h,0,0,1,0.454651,1.23997
14,15269,a,0,0,5,0.139728,2.91627
15,15281,h,1,0,0,0.336553,0.419961
16,15289,a,3,2,1,1.7479,1.14009
17,15295,a,0,0,3,2.28505,2.66263
18,15308,h,3,3,1,1.50709,0.949382
19,15311,a,3,2,1,0.816611,0.42778
20,15325,a,0,0,2,0.554721,2.94491
21,15335,h,0,0,1,0.650885,0.606729
22,15338,a,0,1,5,0.985369,2.40221
23,15349,h,1,1,1,1.50386,1.20768
24,15360,a,0,1,2,1.05403,2.37875
25,15371,h,1,2,2,1.32405,1.81107
26,15378,a,0,0,1,1.20907,0.729338
27,15388,h,0,2,3,2.49731,1.51737
28,15395,a,0,0,3,0.828829,1.98802
29,15406,h,3,2,1,0.594852,2.01175
30,15418,a,3,3,2,1.82475,1.84086
31,15425,h,0,1,4,1.72084,2.49672
32,15432,a,1,0,0,1.65371,0.0752744
33,15443,h,3,1,0,1.98992,0.337227
