,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14177,a,3,4,1,2.05406,0.495892
1,14182,h,0,1,3,1.55994,1.62111
2,15166,a,0,3,4,1.24509,3.99311
3,15169,h,0,0,2,1.42805,1.40822
4,15179,a,0,1,2,0.802136,2.68523
5,15192,h,1,1,1,1.25246,0.397923
6,15199,a,3,3,0,2.51682,0.350601
7,15209,h,0,2,5,1.20761,2.83449
8,15215,a,1,0,0,0.517533,1.04196
9,15225,h,3,3,1,0.768378,0.268079
10,15232,a,1,1,1,0.36509,1.35982
11,15239,h,1,0,0,0.490128,0.742962
12,15252,a,0,1,4,1.03828,2.96729
13,15261,h,3,3,0,2.06576,0.717925
14,15274,a,0,0,1,0.603143,0.623296
15,15281,a,1,0,0,0.419961,0.336553
16,15288,h,0,0,3,1.33502,1.07527
17,15297,h,0,1,4,1.99787,1.39323
18,15306,a,0,1,3,0.381451,1.78331
19,15315,h,0,0,1,1.24698,1.8015
20,15328,a,1,1,1,0.832358,1.3857
21,15333,h,0,0,3,0.859063,1.16338
22,15342,a,0,0,2,1.18868,0.620957
23,15347,h,3,2,1,2.68531,0.836158
24,15356,a,0,0,2,0.0761441,1.93335
25,15369,h,3,3,0,2.00238,2.00246
26,15379,a,1,1,1,0.850228,0.801212
27,15386,h,1,2,2,1.41784,1.24723
28,15399,a,1,1,1,1.54384,2.8172
29,15405,h,3,3,0,2.03873,0.850618
30,15424,h,1,0,0,0.757903,0.501126
31,15416,a,3,2,1,1.48104,1.07359
32,15432,h,1,0,0,0.0752744,1.65371
33,15439,a,0,1,2,1.60949,1.90885
