,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14180,a,0,1,3,1.07201,3.22891
1,14183,h,0,1,4,1.04484,2.9689
2,15158,a,0,0,4,0.189144,2.07145
3,15171,h,0,0,1,0.214962,0.454109
4,15178,h,0,2,3,1.90042,3.07629
5,15187,a,0,1,3,1.01141,1.78716
6,15198,h,1,2,2,3.36371,1.70687
7,15210,a,3,3,1,3.20461,1.47979
8,15218,h,1,1,1,1.78391,1.1082
9,15229,a,0,1,2,2.54193,1.18485
10,15237,h,0,0,1,1.26169,0.838955
11,15239,a,1,0,0,0.742962,0.490128
12,15255,h,0,0,1,0.388426,1.30319
13,15257,a,0,2,5,1.1937,4.11014
14,15272,h,0,0,2,1.10303,2.44043
15,15276,a,1,1,1,0.536442,1.89801
16,15290,h,0,0,2,0.372223,0.989418
17,15299,h,3,3,2,1.97152,1.86151
18,15310,a,0,0,2,0.298779,1.02742
19,15317,h,3,1,0,2.20728,0.937962
20,15323,a,1,2,2,2.27515,1.75183
21,15329,a,3,2,1,0.665514,0.659888
22,15344,h,0,0,1,0.454814,1.27616
23,15348,a,1,0,0,0.848925,0.414149
24,15361,h,3,1,0,1.83812,1.48247
25,15366,a,3,2,1,3.20297,1.05065
26,15380,h,1,1,1,2.45668,0.376815
27,15388,a,3,3,2,1.51737,2.49731
28,15407,a,3,1,0,1.38294,0.8847
29,15417,h,3,2,1,1.1149,1.16918
30,15399,h,1,1,1,2.8172,1.54384
31,15423,a,1,1,1,0.52553,0.691369
32,15434,h,0,1,3,1.38457,2.12969
33,15440,a,3,3,2,1.57286,1.30713
