,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14173,a,0,0,8,0.14975,4.62088
1,14188,h,0,1,3,1.67597,3.10437
2,15164,a,0,0,4,0.215209,3.25836
3,15175,h,1,1,1,0.250814,0.831403
4,15181,a,0,0,3,0.236172,1.48384
5,15185,h,1,1,1,0.726659,1.56968
6,15198,a,1,2,2,1.70687,3.36371
7,15206,h,0,0,2,1.00376,2.66289
8,15214,a,0,1,4,0.734533,3.15544
9,15226,h,0,0,3,1.22701,2.45305
10,15238,a,1,2,2,1.90769,1.25437
11,15240,h,0,0,2,0.376573,1.15776
12,15254,h,0,0,1,0.338524,0.89989
13,15261,a,0,0,3,0.717925,2.06576
14,15271,h,3,4,0,2.13307,1.84328
15,15279,a,0,1,3,0.135505,1.97864
16,15289,h,0,1,2,1.14009,1.7479
17,15298,h,0,0,4,0.937959,3.12798
18,15309,a,1,1,1,0.467918,0.64374
19,15316,h,0,0,3,0.125218,3.10182
20,15326,a,1,0,0,0.335784,1.9379
21,15334,h,0,0,4,0.830269,1.85349
22,15346,a,0,1,5,1.64536,2.68633
23,15348,h,1,0,0,0.414149,0.848925
24,15359,a,0,0,5,0.241952,2.50491
25,15370,h,0,0,3,0.185724,2.06675
26,15377,a,0,1,2,1.05068,0.861271
27,15387,h,3,1,0,0.858301,1.14952
28,15397,a,0,0,4,0.716727,2.07564
29,15408,a,0,0,1,0.252122,2.29829
30,15421,a,0,2,4,0.816991,1.53696
31,15416,h,0,1,2,1.07359,1.48104
32,15433,h,3,4,3,2.69368,3.0473
33,15443,a,0,0,1,0.337227,1.98992
