,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14177,h,0,1,4,0.495892,2.05406
1,14188,a,3,3,1,3.10437,1.67597
2,15160,h,3,1,0,0.346071,1.02247
3,15168,a,1,1,1,1.6646,1.05894
4,15183,h,1,1,1,0.229596,0.870978
5,15189,a,1,1,1,0.733652,2.49235
6,15194,h,1,1,1,1.35118,0.399372
7,15203,a,1,1,1,1.63104,1.6736
8,15216,a,0,3,5,0.860897,1.53686
9,15228,h,0,1,2,0.647875,2.13261
10,15231,a,0,0,2,0.599394,2.40107
11,15242,h,0,1,2,0.14594,3.37771
12,15255,a,3,1,0,1.30319,0.388426
13,15263,h,0,0,2,1.0178,1.30377
14,15268,a,1,1,1,0.481943,0.588228
15,15282,h,3,2,0,1.20083,0.943511
16,15285,a,0,0,1,0.813286,0.645527
17,15297,a,3,4,1,1.39323,1.99787
18,15309,h,1,1,1,0.64374,0.467918
19,15327,h,1,0,0,0.907057,0.375641
20,15330,a,0,0,4,0.109963,2.66057
21,15345,h,3,2,1,1.10682,1.17887
22,15349,a,1,1,1,1.20768,1.50386
23,15319,a,3,2,0,1.64589,2.49186
24,15363,h,0,1,3,0.76636,3.96745
25,15372,h,0,1,2,1.06983,1.20287
26,15381,a,0,0,1,0.362475,0.695308
27,15389,h,0,1,4,1.32791,1.68371
28,15392,a,0,1,4,0.973347,3.07111
29,15407,h,0,0,1,0.8847,1.38294
30,15415,a,0,1,3,0.44826,1.69915
31,15426,h,1,0,0,0.552662,1.05171
32,15435,a,0,0,2,0.602641,1.70665
33,15444,h,0,2,4,1.88004,1.99606
