,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14181,h,1,0,0,1.27652,0.441229
1,14190,a,1,1,1,0.413442,0.92465
2,15165,h,1,0,0,1.31989,1.80757
3,15173,a,1,1,1,1.34469,2.11077
4,15182,h,3,2,1,2.77748,0.664903
5,15192,a,1,1,1,0.397923,1.25246
6,15201,h,3,2,1,2.65255,2.63695
7,15206,a,3,2,0,2.66289,1.00376
8,15216,h,3,5,3,1.53686,0.860897
9,15227,a,1,2,2,1.90682,1.08565
10,15234,h,3,2,1,2.81209,1.51392
11,15245,a,0,1,2,1.10816,1.26746
12,15251,h,3,1,0,1.67526,1.10934
13,15258,a,0,0,2,1.21991,2.00235
14,15270,a,1,2,2,1.89061,1.00289
15,15278,h,1,2,2,0.806904,2.41624
16,15290,a,3,2,0,0.989418,0.372223
17,15294,a,3,1,0,1.0586,0.572384
18,15305,h,3,3,0,2.00557,0.684054
19,15318,a,3,2,0,2.19806,0.384821
20,15324,h,1,0,0,0.641105,0.663321
21,15337,a,3,3,0,1.67634,0.319638
22,15342,h,3,2,0,0.620957,1.18868
23,15353,a,0,1,2,1.82597,0.989132
24,15359,h,3,5,0,2.50491,0.241952
25,15372,a,3,2,1,1.20287,1.06983
26,15378,h,3,1,0,0.729338,1.20907
27,15385,a,0,3,4,1.69595,0.748811
28,15396,h,0,2,3,1.25011,1.72716
29,15409,a,3,3,1,1.70299,1.77065
30,15413,h,0,0,2,1.36199,1.04957
31,15422,h,3,3,0,1.94262,0.577025
32,15428,a,1,2,2,1.07835,1.9175
33,15440,h,0,2,3,1.30713,1.57286
