,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23065,a,3,4,0,2.89704,0.63974
1,23082,h,3,3,1,2.82296,0.726241
2,23089,a,3,2,1,2.14949,0.201237
3,23092,h,1,2,2,2.74374,2.4584
4,23104,h,3,7,0,6.02607,0.0892044
5,23116,a,1,2,2,1.95099,0.793383
6,23126,h,3,3,0,2.37438,0.0704987
7,23134,a,3,3,1,1.68693,0.975025
8,23137,h,3,8,0,5.884,0.924873
9,23146,a,3,4,0,2.86067,1.47623
10,23155,h,3,4,2,2.60786,1.04526
11,23169,a,3,1,0,3.8999,0.189125
12,23184,a,0,1,5,2.59277,1.84651
13,23191,h,3,3,0,3.41522,0.309157
14,23204,a,3,2,1,3.15053,0.313193
15,23209,h,3,3,0,3.4164,1.61888
16,23218,h,0,0,1,1.54562,0.429252
17,23173,h,3,1,0,2.172,0.477644
18,23234,a,3,3,2,2.27504,2.68517
19,23236,h,3,3,1,2.58401,0.780069
20,23250,a,0,0,3,0.710198,1.22993
21,23260,a,0,2,3,2.86883,2.08495
22,23271,h,3,2,1,1.83179,0.57703
23,23273,a,1,2,2,2.4424,1.53977
24,23281,h,3,8,1,6.78137,1.07439
25,23298,a,3,5,2,5.11913,1.2476
26,23299,h,0,0,2,1.90876,1.25844
27,23315,a,0,2,3,2.12066,1.35048
28,23317,h,3,2,0,2.34705,0.766768
29,23327,a,3,5,1,1.92795,1.06863
30,23335,h,3,2,1,3.29649,0.392852
31,23351,a,0,1,3,1.92761,2.0106
32,23353,h,3,2,0,0.37152,0.132383
33,23367,a,0,2,4,1.69159,2.44188
