,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23070,a,0,0,5,0.669108,3.98664
1,23077,h,1,1,1,1.01164,1.17241
2,23087,a,1,2,2,1.86494,1.88106
3,23098,h,1,1,1,2.17324,0.737999
4,23104,a,0,0,7,0.0892044,6.02607
5,23111,h,0,1,3,1.46515,2.86793
6,23121,a,1,0,0,0.741054,2.22631
7,23130,a,0,1,2,1.37705,2.5274
8,23143,h,1,2,2,2.13405,0.443599
9,23154,a,3,2,1,1.56273,0.854923
10,23160,h,1,1,1,5.05629,1.07591
11,23172,a,1,0,0,0.359399,0.748895
12,23178,h,3,3,1,2.07603,1.03452
13,23187,a,0,1,3,1.82523,2.27533
14,23197,h,3,3,0,3.57797,0.670719
15,23202,a,0,0,4,0.325421,3.32375
16,23215,h,1,1,1,1.24017,0.934194
17,23224,h,3,1,0,0.71453,1.99316
18,23227,a,0,1,3,0.388377,3.09919
19,23242,h,1,1,1,1.16731,1.39431
20,23252,a,1,1,1,1.27691,2.44154
21,23260,h,3,3,2,2.08495,2.86883
22,23266,a,0,2,5,2.13723,3.64941
23,23278,h,0,1,4,0.562887,2.11704
24,23287,h,0,1,2,1.28237,1.43573
25,23294,a,0,0,2,0.590727,2.33802
26,23305,h,1,2,2,2.29251,0.879015
27,23316,a,0,1,2,0.777136,1.23733
28,23322,h,1,1,1,1.11714,1.40689
29,23330,a,0,0,1,1.37904,1.34814
30,23341,h,3,3,2,3.91029,1.28293
31,23345,a,3,4,3,1.84679,1.49561
32,23359,h,0,0,5,0.221516,4.59495
33,23368,a,0,1,4,2.14301,3.80667
