,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23071,h,3,1,0,1.72317,1.51393
1,23077,a,1,1,1,1.17241,1.01164
2,23083,h,1,2,2,2.74794,2.09517
3,23094,a,3,4,2,3.37255,1.14667
4,23105,h,3,1,0,2.16482,0.343309
5,23110,a,3,3,1,1.69401,1.85129
6,23120,h,3,4,2,1.76935,1.5245
7,23128,h,3,1,0,2.7285,0.53973
8,23140,a,1,3,3,2.41687,3.67492
9,23146,h,0,0,4,1.47623,2.86067
10,23162,a,0,1,2,0.7643,4.1718
11,23164,h,3,4,2,3.36754,0.789918
12,23175,a,1,1,1,1.26088,1.96389
13,23182,h,0,2,3,1.71347,3.63569
14,23198,a,1,1,1,2.02537,1.509
15,23200,h,1,1,1,1.33337,1.06262
16,23217,a,3,3,0,3.14682,0.825788
17,23223,a,3,4,0,3.48032,1.3929
18,23227,h,3,3,1,3.09919,0.388377
19,23243,a,1,0,0,0.8117,1.00945
20,23246,h,3,3,0,3.21996,0.230074
21,23256,a,1,1,1,1.21109,2.11967
22,23270,h,0,2,3,3.06361,1.31588
23,23272,a,3,2,0,1.63921,0.999042
24,23286,a,3,2,1,1.23563,1.34789
25,23290,h,3,3,1,2.83411,0.86903
26,23299,a,3,2,0,1.25844,1.90876
27,23308,h,0,0,1,2.95333,1.82865
28,23321,a,3,2,1,1.80703,1.17228
29,23326,h,1,1,1,0.773997,1.51278
30,23336,a,0,1,4,1.7764,2.74912
31,23344,h,3,5,1,3.67101,2.56978
32,23356,a,0,0,3,0.398966,3.05403
33,23362,h,3,4,0,3.0526,0.281801
