,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23069,a,1,4,4,1.91849,2.53482
1,23080,h,0,0,3,1.76423,3.65301
2,23089,h,0,1,2,0.201237,2.14949
3,23100,a,1,3,3,3.49324,1.328
4,23103,h,0,0,1,0.771966,1.03744
5,23111,a,3,3,1,2.86793,1.46515
6,23119,h,1,2,2,3.01512,1.21309
7,23135,a,0,1,3,0.407008,2.72755
8,23141,h,3,2,1,0.981009,0.395956
9,23148,a,1,3,3,1.92375,3.3903
10,23158,h,3,4,0,2.094,0.500797
11,23164,a,0,2,4,0.789918,3.36754
12,23177,h,3,2,1,1.60234,1.33696
13,23183,a,0,1,3,1.03267,2.5675
14,23196,h,1,2,2,1.20813,1.64723
15,23203,a,0,1,2,0.552196,1.53912
16,23213,h,3,3,1,2.02288,1.24703
17,23222,h,0,1,2,1.87919,1.61193
18,23229,a,1,0,0,0.278864,3.32828
19,23236,a,0,1,3,0.780069,2.58401
20,23245,h,1,0,0,1.47353,0.817722
21,23254,a,0,0,2,0.944074,1.49022
22,23266,h,3,5,2,3.64941,2.13723
23,23275,a,1,1,1,1.55082,1.08864
24,23285,h,1,3,3,2.54696,0.924707
25,23297,a,1,1,1,0.820339,1.61096
26,23303,h,0,0,3,1.84419,2.08769
27,23312,a,3,3,1,1.38704,1.26689
28,23321,h,0,1,2,1.17228,1.80703
29,23332,a,0,3,4,1.36369,2.77278
30,23340,h,1,0,0,1.21021,1.11351
31,23350,a,1,2,2,2.28533,1.31618
32,23357,h,1,1,1,0.323547,2.33139
33,23369,a,0,0,4,1.65395,2.1075
