,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23073,a,0,0,1,0.813333,1.2399
1,23079,h,0,1,4,2.59994,1.6379
2,23084,a,0,1,5,0.681851,3.42599
3,23100,h,1,3,3,1.328,3.49324
4,23101,a,0,1,3,0.272376,3.04946
5,23117,h,3,4,2,2.34923,1.54627
6,23122,a,3,2,1,1.96153,1.18473
7,23133,h,0,1,3,1.68331,1.83161
8,23137,a,0,0,8,0.924873,5.884
9,23154,h,0,1,2,0.854923,1.56273
10,23163,h,1,0,0,0.449952,0.624718
11,23166,a,1,1,1,0.34181,1.34505
12,23181,h,0,0,1,0.61755,1.30112
13,23190,a,0,2,3,1.00759,1.86894
14,23199,h,0,0,1,0.942093,0.587028
15,23205,a,1,3,3,0.952662,2.81806
16,23217,h,0,0,3,0.825788,3.14682
17,23226,h,1,2,2,1.3877,1.28892
18,23228,a,0,0,1,1.00135,3.54733
19,23244,h,0,0,2,0.432778,2.18207
20,23245,a,1,0,0,0.817722,1.47353
21,23262,h,0,1,2,2.66748,1.74454
22,23265,a,1,1,1,0.890186,1.5891
23,23280,h,0,0,6,1.113,3.39611
24,23282,a,0,0,2,0.394275,4.25377
25,23298,h,0,2,5,1.2476,5.11913
26,23305,a,1,2,2,0.879015,2.29251
27,23313,a,0,0,4,0.558152,3.84973
28,23325,h,0,0,1,0.962275,1.34437
29,23331,a,3,2,0,1.95124,1.1117
30,23343,h,0,0,1,0.532047,1.49165
31,23347,a,0,0,3,0.372357,3.16035
32,23361,h,0,0,6,0.467229,3.67135
33,23362,a,0,0,4,0.281801,3.0526
