,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23073,h,3,1,0,1.2399,0.813333
1,23081,a,1,1,1,1.15731,1.44234
2,23090,h,1,1,1,1.2824,0.931141
3,23098,a,1,1,1,0.737999,2.17324
4,23109,h,1,0,0,0.754063,0.407479
5,23113,a,0,0,2,1.09205,2.77737
6,23127,h,3,2,0,1.83609,0.625618
7,23132,a,3,3,1,2.13235,1.13281
8,23140,h,1,3,3,3.67492,2.41687
9,23147,a,3,3,0,1.56887,1.066
10,23159,a,1,2,2,2.02339,1.93909
11,23167,h,0,1,2,0.787582,2.29764
12,23179,a,0,1,2,0.906933,1.95055
13,23184,h,3,5,1,1.84651,2.59277
14,23194,a,0,0,3,0.205245,2.4919
15,23203,h,3,2,1,1.53912,0.552196
16,23210,a,3,1,0,1.07791,2.67312
17,23226,a,1,2,2,1.28892,1.3877
18,23230,h,3,1,0,1.13826,0.815239
19,23241,a,0,0,2,1.16049,2.09653
20,23252,h,1,1,1,2.44154,1.27691
21,23255,a,1,3,3,1.35483,2.77236
22,23267,h,1,2,2,1.53623,1.18165
23,23279,a,3,2,1,1.57778,0.847831
24,23284,h,3,3,1,3.53168,0.695868
25,23290,a,0,1,3,0.86903,2.83411
26,23302,h,1,0,0,1.3089,1.07679
27,23311,h,1,1,1,2.18898,1.60098
28,23324,a,0,0,3,0.565621,1.26199
29,23329,h,3,3,1,1.88744,0.597958
30,23335,a,0,1,2,0.392852,3.29649
31,23346,h,0,1,5,1.57584,3.11322
32,23357,a,1,1,1,2.33139,0.323547
33,23365,h,1,2,2,2.62491,1.79078
