,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23067,a,0,0,2,1.17776,3.21449
1,23078,h,0,2,3,2.72999,2.75768
2,23083,a,1,2,2,2.09517,2.74794
3,23099,h,3,4,2,1.96235,2.55978
4,23108,a,0,1,4,0.659741,3.97445
5,23112,h,3,1,0,0.542933,2.1613
6,23127,a,0,0,2,0.625618,1.83609
7,23136,h,0,2,5,1.99327,2.82353
8,23141,a,0,1,2,0.395956,0.981009
9,23153,h,3,2,0,0.78335,2.57296
10,23155,a,0,2,4,1.04526,2.60786
11,23172,h,1,0,0,0.748895,0.359399
12,23174,a,0,1,2,1.17851,4.71075
13,23190,h,3,3,2,1.86894,1.00759
14,23195,a,3,1,0,0.756363,1.21178
15,23208,h,3,3,2,1.75628,1.59052
16,23214,a,1,1,1,1.27869,0.641578
17,23225,h,1,1,1,1.19211,1.22104
18,23232,a,1,1,1,1.10065,3.23703
19,23243,h,1,0,0,1.00945,0.8117
20,23249,a,3,2,1,2.1722,1.62589
21,23261,h,0,1,2,0.698981,1.87986
22,23269,a,1,2,2,1.33022,1.20933
23,23279,h,0,1,2,0.847831,1.57778
24,23288,a,0,0,1,0.267511,0.740927
25,23297,h,1,1,1,1.61096,0.820339
26,23307,a,1,3,3,1.62523,3.0588
27,23315,h,3,3,2,1.35048,2.12066
28,23322,a,1,1,1,1.40689,1.11714
29,23334,h,0,1,2,1.35248,1.58114
30,23343,a,3,1,0,1.49165,0.532047
31,23352,h,1,1,1,1.42565,2.2312
32,23355,a,1,1,1,0.634464,1.8695
33,23370,h,3,4,1,1.46315,2.70114
