,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23068,a,3,2,1,3.24821,1.67186
1,23075,h,3,1,0,1.71877,0.696983
2,23088,a,0,0,5,1.50372,2.09598
3,23094,h,0,2,4,1.14667,3.37255
4,23109,a,1,0,0,0.407479,0.754063
5,23118,h,3,2,0,1.2721,1.00081
6,23126,a,0,0,3,0.0704987,2.37438
7,23130,h,3,2,1,2.5274,1.37705
8,23139,a,0,1,2,1.02333,1.60773
9,23148,h,1,3,3,3.3903,1.92375
10,23156,a,0,1,3,0.398988,1.90144
11,23166,h,1,1,1,1.34505,0.34181
12,23176,a,3,1,0,1.34097,2.86869
13,23185,a,3,1,0,0.511263,1.32934
14,23193,h,3,2,0,3.46957,1.24601
15,23208,a,0,2,3,1.59052,1.75628
16,23211,h,1,0,0,2.1675,0.424997
17,23220,h,3,3,2,2.47971,1.76349
18,23233,a,0,1,3,1.33739,2.33032
19,23238,h,0,1,3,1.15964,2.73728
20,23246,a,0,0,3,0.230074,3.21996
21,23255,h,1,3,3,2.77236,1.35483
22,23264,a,0,1,2,1.42649,2.40818
23,23273,h,1,2,2,1.53977,2.4424
24,23287,a,3,2,1,1.43573,1.28237
25,23292,h,0,2,3,0.916618,2.50336
26,23303,a,3,3,0,2.08769,1.84419
27,23310,h,0,1,4,1.55898,2.88698
28,23325,a,3,1,0,1.34437,0.962275
29,23328,h,1,1,1,1.25572,1.47938
30,23337,h,0,1,2,1.86256,0.583145
31,23348,a,1,0,0,1.12733,1.08936
32,23355,h,1,1,1,1.8695,0.634464
33,23363,a,0,1,2,0.963773,2.28943
