,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23068,h,0,1,2,1.67186,3.24821
1,23078,a,3,3,2,2.75768,2.72999
2,23085,h,3,3,1,1.78689,1.4154
3,23097,a,3,3,1,1.06988,1.19432
4,23106,a,3,2,0,2.15364,1.62442
5,23110,h,0,1,3,1.85129,1.69401
6,23124,a,3,3,2,1.52805,1.03064
7,23132,h,0,1,3,1.13281,2.13235
8,23145,a,3,3,2,1.74412,3.15109
9,23152,h,0,2,3,1.27214,1.05046
10,23161,a,1,1,1,0.897413,0.937133
11,23170,h,1,1,1,0.7002,1.96701
12,23177,a,0,1,2,1.33696,1.60234
13,23187,h,3,3,1,2.27533,1.82523
14,23192,a,0,1,3,1.04243,2.91669
15,23205,h,1,3,3,2.81806,0.952662
16,23209,a,0,0,3,1.61888,3.4164
17,23220,a,0,2,3,1.76349,2.47971
18,23232,h,1,1,1,3.23703,1.10065
19,23239,a,1,2,2,1.93269,1.60418
20,23247,h,1,1,1,0.726907,0.172441
21,23259,h,0,0,1,1.24508,2.1649
22,23270,a,3,3,2,1.31588,3.06361
23,23277,h,3,2,1,2.06582,1.34942
24,23284,a,0,1,3,0.695868,3.53168
25,23296,h,0,0,3,0.229186,3.1752
26,23301,a,0,1,2,0.657688,3.03672
27,23314,h,3,3,1,2.21977,0.806763
28,23320,a,0,1,4,0.529727,2.58388
29,23332,h,3,4,3,2.77278,1.36369
30,23341,a,0,2,3,1.28293,3.91029
31,23349,h,1,1,1,1.80367,1.03434
32,23361,a,3,6,0,3.67135,0.467229
33,23367,h,3,4,2,2.44188,1.69159
