,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23066,a,0,2,3,1.60393,1.73279
1,23074,h,3,5,1,2.0934,1.18326
2,23091,a,3,3,0,1.21402,0.17815
3,23093,h,3,3,0,1.46279,1.34046
4,23103,a,3,1,0,1.03744,0.771966
5,23116,h,1,2,2,0.793383,1.95099
6,23121,h,1,0,0,2.22631,0.741054
7,23133,a,3,3,1,1.83161,1.68331
8,23138,h,3,6,0,4.85886,1.32863
9,23150,a,0,0,2,0.507864,1.49686
10,23156,h,3,3,1,1.90144,0.398988
11,23168,a,0,1,2,2.90646,0.634004
12,23174,h,3,2,1,4.71075,1.17851
13,23182,a,3,3,2,3.63569,1.71347
14,23192,h,3,3,1,2.91669,1.04243
15,23206,a,1,1,1,1.99449,1.48185
16,23210,h,0,0,1,2.67312,1.07791
17,23219,h,0,2,3,1.59453,2.17224
18,23235,a,0,2,5,0.495967,3.13056
19,23237,h,3,2,0,1.7598,0.65912
20,23251,a,1,2,2,1.78901,0.965916
21,23254,h,3,2,0,1.49022,0.944074
22,23271,a,0,1,2,0.57703,1.83179
23,23278,a,3,4,1,2.11704,0.562887
24,23282,h,3,2,0,4.25377,0.394275
25,23295,a,3,5,1,3.92775,1.18251
26,23300,h,1,0,0,2.91967,1.00565
27,23310,a,3,4,1,2.88698,1.55898
28,23318,h,3,3,0,1.68139,0.323042
29,23334,a,3,2,1,1.58114,1.35248
30,23336,h,3,4,1,2.74912,1.7764
31,23349,a,1,1,1,1.03434,1.80367
32,23354,h,1,1,1,1.60961,1.0305
33,23365,a,1,2,2,1.79078,2.62491
