,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23072,h,3,4,1,2.11281,2.51995
1,23079,a,3,4,1,1.6379,2.59994
2,23091,h,0,0,3,0.17815,1.21402
3,23095,a,0,1,2,1.56941,0.566932
4,23106,h,0,0,2,1.62442,2.15364
5,23112,a,0,0,1,2.1613,0.542933
6,23120,a,0,2,4,1.5245,1.76935
7,23129,h,0,0,3,0.573025,1.87513
8,23142,a,0,0,2,0.368624,0.690799
9,23147,h,0,0,3,1.066,1.56887
10,23157,a,0,0,4,0.0283806,3.04223
11,23165,h,1,1,1,2.40798,1.84043
12,23183,h,3,3,1,2.5675,1.03267
13,23197,a,0,0,3,0.670719,3.57797
14,23201,h,3,2,0,1.86539,0.897866
15,23211,a,1,0,0,0.424997,2.1675
16,23173,a,0,0,1,0.477644,2.172
17,23228,h,3,1,0,3.54733,1.00135
18,23237,a,0,0,2,0.65912,1.7598
19,23221,a,1,1,1,1.53583,1.37814
20,23248,h,3,1,0,0.575454,1.08099
21,23259,a,3,1,0,2.1649,1.24508
22,23269,h,1,2,2,1.20933,1.33022
23,23272,h,0,0,2,0.999042,1.63921
24,23289,a,0,0,2,0.839212,1.30933
25,23291,h,3,2,1,1.42836,0.833042
26,23302,a,1,0,0,1.07679,1.3089
27,23309,h,0,0,1,0.269865,2.7617
28,23323,a,0,0,2,1.55042,1.7073
29,23327,h,0,1,5,1.06863,1.92795
30,23340,a,1,0,0,1.11351,1.21021
31,23345,h,0,3,4,1.49561,1.84679
32,23358,a,0,2,3,1.66062,3.02417
33,23363,h,3,2,1,2.28943,0.963773
