,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23070,h,3,5,0,3.98664,0.669108
1,23074,a,0,1,5,1.18326,2.0934
2,23088,h,3,5,0,2.09598,1.50372
3,23096,a,3,3,1,2.06366,1.16545
4,23101,h,3,3,1,3.04946,0.272376
5,23115,a,3,2,0,2.06666,0.803426
6,23123,h,3,3,1,3.02575,1.06355
7,23129,a,3,3,0,1.87513,0.573025
8,23145,h,0,2,3,3.15109,1.74412
9,23153,a,0,0,2,2.57296,0.78335
10,23162,h,3,2,1,4.1718,0.7643
11,23167,a,3,2,1,2.29764,0.787582
12,23180,h,3,2,0,4.01803,0.65905
13,23189,h,1,1,1,2.61136,1.47429
14,23191,a,0,0,3,0.309157,3.41522
15,23207,h,3,3,0,2.65007,0.224572
16,23213,a,0,1,3,1.24703,2.02288
17,23224,a,0,0,1,1.99316,0.71453
18,23235,h,3,5,2,3.13056,0.495967
19,23238,a,3,3,1,2.73728,1.15964
20,23253,h,3,3,1,2.17007,1.61535
21,23262,a,3,2,1,1.74454,2.66748
22,23263,h,1,1,1,1.87785,1.43669
23,23274,a,3,3,2,1.04058,0.964288
24,23289,h,3,2,0,1.30933,0.839212
25,23296,a,3,3,0,3.1752,0.229186
26,23307,h,1,3,3,3.0588,1.62523
27,23308,a,3,1,0,1.82865,2.95333
28,23324,h,3,3,0,1.26199,0.565621
29,23333,a,0,1,2,3.32355,1.40776
30,23338,a,1,2,2,2.02009,1.66579
31,23351,h,3,3,1,2.0106,1.92761
32,23360,a,3,1,0,1.82603,0.562362
33,23369,h,3,4,0,2.1075,1.65395
