position,team_title,points,points_h,points_a,goals_per90_h,goals_per90_a,against_per90_h,against_per90_a,xG_per90_h,xG_per90_a,xGa_per90_h,xGa_per90_a,points_pvalue,goals_for_pvalue,goals_against_pvalue,xG_for_pvalue,xG_against_pvalue
1,Bayer_Leverkusen,90.0,45.0,45.0,2.764705882352941,2.4705882352941178,0.6470588235294118,0.7647058823529411,2.579914705882353,2.2443548235294117,0.8109073294117648,1.0966051764705882,1.0,0.5111588867495259,0.6587273431556985,0.2884462929694343,0.22571170967239168
2,VfB_Stuttgart,73.0,42.0,31.0,2.9411764705882355,1.6470588235294117,0.8823529411764706,1.411764705882353,2.687463529411765,1.9590927647058825,1.090277411764706,1.4099234705882353,0.143766709415101,0.0031961293873173065,0.20663639517896998,0.014698857751625802,0.23154253831690408
3,Bayern_Munich,72.0,43.0,29.0,3.1176470588235294,2.411764705882353,0.7058823529411765,1.9411764705882353,3.0664258823529407,2.4865722352941173,0.7724318882352942,1.2996148823529412,0.06815532647238853,0.3072288337002849,0.0037540650366248186,0.23011870866107012,0.03162910697678843
4,RasenBallsport_Leipzig,65.0,37.0,28.0,2.3529411764705883,2.176470588235294,0.7058823529411765,1.588235294117647,2.4526384117647058,1.819502411764706,1.0910313529411764,1.4533001764705884,0.2363842656993121,0.7344679503053371,0.017377233650781764,0.1054047316638267,0.10664416508703993
5,Borussia_Dortmund,63.0,33.0,30.0,2.176470588235294,1.8235294117647058,1.2941176470588236,1.2352941176470589,2.4524821764705877,1.7336468235294118,1.3742299411764707,1.876949411764706,0.6946900569617864,0.4613250646653102,0.8878654360940463,0.02246833968140635,0.14776196540613848
6,Eintracht_Frankfurt,47.0,29.0,18.0,1.7058823529411764,1.2941176470588236,1.2352941176470589,1.7058823529411764,1.8349626470588234,1.2025276470588235,1.3403789411764706,1.9098222352941174,0.11936779551655194,0.3084690689527272,0.24308325094473165,0.01634919641421542,0.0538875506170001
7,Hoffenheim,46.0,23.0,23.0,1.8235294117647058,2.0588235294117645,1.8235294117647058,2.0588235294117645,1.779453117647059,1.5293338823529412,1.5967250588235296,2.3106071764705884,1.0,0.6120645755124506,0.5068184228124542,0.37484573785067876,0.03172178969534659
8,Werder_Bremen,42.0,25.0,17.0,1.7058823529411764,1.1176470588235294,1.5294117647058822,1.6470588235294117,1.571174588235294,1.1996177058823527,1.7454773529411767,1.848442823529412,0.29983791912362684,0.11227313110722043,0.7972867910179342,0.169300164242185,0.7298567443756522
9,Freiburg,42.0,22.0,20.0,1.6470588235294117,1.0,1.7647058823529411,1.6470588235294117,1.908954,1.1792838647058823,1.5746640588235294,1.8697557647058822,0.7970788329192748,0.036430108725490656,0.816720005087499,0.009750586443568814,0.299921013106547
10,FC_Heidenheim,42.0,26.0,16.0,1.7647058823529411,1.1764705882352942,1.5294117647058822,1.7058823529411764,1.372770588235294,1.1318754705882355,1.8104481176470588,2.077447705882353,0.16746993460048554,0.11342260473511552,0.6764844667296017,0.2190841525080825,0.4590742557199168
11,Augsburg,39.0,24.0,15.0,1.5294117647058822,1.411764705882353,1.5294117647058822,2.0,1.4604005294117646,1.4288520588235292,1.587065411764706,2.077841176470588,0.23431666084324757,0.8132473820809688,0.24116576696917963,0.91200021147622,0.03559933219336606
12,Wolfsburg,37.0,22.0,15.0,1.4705882352941178,0.9411764705882353,1.4705882352941178,1.8235294117647058,1.6346039411764706,0.9536434705882354,1.477746470588235,1.455899,0.367936046553924,0.05474876515001963,0.3797258562852406,0.013378334570498434,0.936032518572173
13,Mainz_05,35.0,23.0,12.0,1.3529411764705883,0.9411764705882353,1.0588235294117647,1.9411764705882353,1.7506061176470589,1.2893,1.0454572941176472,1.9259819411764705,0.09063352551760656,0.271425653426474,0.11329497423384964,0.12421143877123934,0.03649282394265146
14,Borussia_M.Gladbach,34.0,21.0,13.0,1.588235294117647,1.7058823529411764,1.5294117647058822,2.411764705882353,1.6329546470588234,1.4146692941176469,1.5301301176470588,2.1462023529411764,0.22938859022957192,0.8063933479233086,0.03244768129021544,0.4782512179021423,0.03246311670646588
15,Bochum,33.0,23.0,10.0,1.5294117647058822,0.9411764705882353,1.7058823529411764,2.6470588235294117,1.8875319411764706,1.1384327294117647,1.5829491764705883,2.545075764705882,0.04905695664044463,0.10185413295398843,0.10278147931089301,0.041070782549772915,0.026322951468992575
16,Union_Berlin,33.0,23.0,10.0,1.2941176470588236,0.6470588235294118,1.7647058823529411,1.6470588235294117,1.4869603529411766,1.1449339176470588,1.558094176470588,1.7689755294117646,0.08397851766356437,0.12312045272453671,0.8052987487787238,0.2116393894783458,0.42086003457113197
17,FC_Cologne,27.0,16.0,11.0,0.8823529411764706,0.7647058823529411,1.6470588235294117,1.8823529411764706,1.2782239999999998,1.329841294117647,1.9111455294117647,2.3129674705882355,0.41716263845370194,0.7104038043236351,0.6299882262821441,0.8443851521695869,0.3219098739365668
18,Darmstadt,17.0,6.0,11.0,0.8823529411764706,0.8823529411764706,2.588235294117647,2.4705882352941178,1.2035820588235293,0.8295366470588236,2.1158574117647055,2.655691176470588,0.346419835752097,1.0,0.8583829842107589,0.0913334180860422,0.22574617040697928
