,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14086,a,3,3,0,2.16287,0.126327
1,14099,h,3,2,1,1.32902,2.06377
2,14115,a,0,1,3,1.17817,2.73834
3,14465,h,3,2,1,0.667131,0.144994
4,14480,a,0,0,1,0.838322,1.43023
5,14485,h,0,0,1,0.73944,0.736172
6,14500,a,3,1,0,0.998072,0.394113
7,14505,h,0,0,3,1.39037,1.98553
8,14518,a,1,0,0,0.710778,1.9617
9,14525,h,0,1,2,1.1185,2.0069
10,14542,a,0,0,2,0.595216,0.390629
11,14554,h,0,0,1,1.85362,0.815375
12,14555,h,1,1,1,0.661135,1.11296
13,14569,a,0,1,2,1.25206,0.661744
14,14575,h,3,3,1,1.94485,2.25414
15,14585,a,3,1,0,1.31394,0.799368
16,14600,a,3,4,0,4.03429,0.869874
17,14605,h,1,0,0,0.368554,0.709634
18,14615,h,3,3,0,2.30744,0.168796
19,14632,a,3,3,1,2.4339,0.99504
20,14635,h,1,0,0,0.747166,1.51332
21,14650,a,0,1,2,0.716265,1.56162
22,14655,a,0,0,1,0.679649,1.19792
23,14665,h,3,4,2,2.50614,0.77074
24,14675,h,0,0,1,0.331188,2.08868
25,14690,a,3,3,1,2.1065,0.533575
26,14697,a,1,1,1,2.53692,1.10374
27,14705,h,3,2,1,1.56529,0.705566
28,14724,a,1,3,3,1.35217,2.50629
29,14725,h,0,0,3,0.161161,2.43732
30,14741,a,3,3,0,1.93838,0.315121
31,14745,h,1,1,1,2.85573,0.839128
32,14755,h,0,0,1,0.735767,0.529676
33,14771,a,3,2,0,1.78751,0.172988
34,14775,h,3,3,1,1.07042,1.83076
35,14790,a,3,1,0,0.692043,1.56786
36,14798,a,3,3,1,1.7945,0.998377
37,14805,h,3,2,0,0.772904,0.193968
