,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14103,a,0,2,4,1.52404,0.987365
1,14109,h,0,0,1,0.347136,0.706632
2,14472,a,0,1,3,0.438849,1.95629
3,14484,a,1,0,0,1.08532,0.731692
4,14488,h,0,0,1,0.95045,0.797344
5,14496,h,0,0,3,0.407341,1.23077
6,14506,a,1,0,0,0.326933,1.59022
7,14516,h,3,1,0,1.75343,1.28331
8,14533,a,0,0,5,0.419877,2.26129
9,14537,h,1,1,1,0.730434,2.28139
10,14554,a,3,1,0,0.815375,1.85362
11,14556,a,1,0,0,0.316737,1.81142
12,14566,h,3,2,1,1.20465,1.45722
13,14578,a,0,0,1,1.54591,2.13271
14,14587,h,3,1,0,0.973831,0.492578
15,14088,h,0,0,1,0.648582,1.23996
16,14623,a,0,0,1,0.395668,1.73397
17,14613,a,3,1,0,1.08059,1.64907
18,14626,h,3,3,2,0.717681,2.70718
19,14637,a,0,0,2,0.390714,1.4405
20,14646,h,0,0,2,0.0489155,2.12153
21,14656,h,1,1,1,1.88934,0.612682
22,14668,a,3,3,0,1.95502,0.645616
23,14602,h,1,1,1,1.20642,0.594471
24,14678,h,1,0,0,0.535153,1.71922
25,14693,a,0,0,4,0.603212,2.35788
26,14716,h,1,1,1,1.26793,1.24109
27,14697,h,1,1,1,1.10374,2.53692
28,14707,a,3,2,1,0.74852,1.69849
29,14733,a,0,2,3,1.50285,2.40272
30,14736,h,0,1,2,1.84262,1.34279
31,14751,a,0,1,3,0.959804,2.87455
32,14764,a,3,4,0,2.24049,0.351673
33,14766,h,0,1,2,1.68312,2.42477
34,14777,a,3,2,0,1.65831,0.778074
35,14786,h,0,0,4,1.41338,1.85654
36,14796,h,0,0,3,0.837048,2.73316
37,14812,a,0,0,1,0.558508,0.420006
