,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14095,a,3,3,1,1.27062,1.44281
1,14102,h,0,0,2,0.904183,2.25211
2,14108,a,1,3,3,2.36046,0.911185
3,14467,h,3,4,0,2.51433,0.103249
4,14475,h,1,3,3,1.98708,1.42348
5,14491,a,1,0,0,0.219906,0.648427
6,14496,a,3,3,0,1.23077,0.407341
7,14507,h,3,4,1,2.87622,0.743967
8,14521,a,3,2,0,1.81923,0.368286
9,14529,h,1,0,0,0.974755,0.22689
10,14538,h,3,3,1,4.89472,1.0277
11,14546,a,0,0,1,1.00627,1.2216
12,14562,a,0,1,2,1.56772,0.683783
13,14567,h,3,3,0,2.41157,0.277737
14,14575,a,0,1,3,2.25414,1.94485
15,14586,h,1,1,1,1.53701,0.730859
16,14603,h,0,1,3,0.691013,3.18063
17,14617,a,3,1,0,1.37939,0.46126
18,14609,a,0,0,2,0.615727,1.1449
19,14630,h,1,0,0,0.663324,0.63192
20,14637,h,3,2,0,1.4405,0.390714
21,14653,a,3,1,0,2.393,0.569446
22,14662,a,3,2,1,1.64144,0.623045
23,14667,h,3,2,0,2.5428,0.432603
24,14682,a,1,1,1,1.44849,0.496603
25,14685,h,1,0,0,1.17294,0.35954
26,14719,a,3,1,0,1.22635,0.247034
27,14698,h,3,2,0,2.57224,0.270757
28,14709,a,1,0,0,0.971054,0.382957
29,14727,h,0,2,5,2.55917,1.38315
30,14737,a,3,4,1,3.85472,0.602167
31,14747,h,1,0,0,0.807348,0.459568
32,14763,a,3,1,0,2.52059,0.267123
33,14767,h,3,2,0,1.8433,0.290042
34,14781,a,3,2,1,0.619724,1.79168
35,14790,h,0,0,1,1.56786,0.692043
36,14797,h,3,2,1,2.86149,0.832596
37,14806,a,0,1,2,3.43414,0.980413
