,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14087,h,3,1,0,1.39569,1.26267
1,14098,a,3,3,1,1.91456,1.09737
2,14107,h,0,1,2,0.443115,2.27189
3,14467,a,0,0,4,0.103249,2.51433
4,14476,h,1,1,1,0.761169,1.0935
5,14489,a,3,2,1,2.81049,1.05258
6,14504,a,0,0,2,0.802767,1.34895
7,14508,h,3,4,1,1.30169,0.847913
8,14516,a,0,0,1,1.28331,1.75343
9,14530,h,0,0,2,0.534893,1.27929
10,14543,a,3,5,1,1.68656,0.567234
11,14545,h,1,1,1,1.84443,1.40792
12,14561,a,1,1,1,1.09108,0.449469
13,14568,h,0,0,7,0.489318,2.86902
14,14576,a,0,0,3,0.849086,4.58214
15,14594,h,1,1,1,0.321348,1.72132
16,14604,h,3,2,0,0.598888,0.323158
17,14605,a,1,0,0,0.709634,0.368554
18,14621,a,0,0,4,0.0515836,0.961088
19,14634,h,0,2,3,0.629033,3.30321
20,14638,h,3,1,0,1.36877,0.450907
21,14652,a,3,2,1,0.809312,1.90755
22,14658,a,0,0,2,0.370278,2.64769
23,14668,h,0,0,3,0.645616,1.95502
24,14677,a,3,2,1,0.179886,2.59204
25,14687,h,1,0,0,0.0880148,0.813134
26,14717,h,1,0,0,0.742397,0.584016
27,14702,a,0,1,4,0.559383,2.24159
28,14706,h,3,1,0,1.30694,0.513439
29,14728,a,1,1,1,0.603749,2.53386
30,14737,h,0,1,4,0.602167,3.85472
31,14759,a,0,1,2,0.723112,1.23419
32,14768,h,0,0,2,0.361866,2.04443
33,14782,a,3,2,0,2.25382,0.639325
34,14753,a,0,1,3,1.32586,1.58872
35,14794,h,3,3,2,1.95285,1.2303
36,14798,h,0,1,3,0.998377,1.7945
37,14810,a,0,0,2,0.772317,2.20348
