,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14093,a,3,1,0,1.26793,0.822944
1,14096,h,3,5,2,4.16254,0.315347
2,14107,a,3,2,1,2.27189,0.443115
3,14468,h,3,4,2,2.34034,1.16568
4,14477,h,1,2,2,1.35998,2.49492
5,14492,a,0,0,2,0.287054,0.74151
6,14501,a,0,1,2,1.21805,2.6311
7,14509,h,0,1,3,0.376464,1.59642
8,14517,a,3,3,2,2.2508,1.87028
9,14531,h,0,0,1,1.29229,3.11324
10,14537,a,1,1,1,2.28139,0.730434
11,14546,h,3,1,0,1.2216,1.00627
12,14559,a,3,2,0,1.51486,0.83883
13,14569,h,3,2,1,0.661744,1.25206
14,14582,a,3,1,0,0.568803,1.25106
15,14595,h,0,0,1,0.371045,1.19713
16,14612,a,3,2,1,0.323445,0.852495
17,14627,h,1,1,1,0.474981,0.792045
18,14644,h,0,0,2,0.966012,2.08832
19,14648,a,3,2,1,1.91539,1.14303
20,14660,a,1,3,3,1.5571,1.71769
21,14669,h,0,0,2,0.314075,2.55085
22,14593,h,0,1,3,1.04664,1.23218
23,14680,a,3,2,0,2.01468,1.54046
24,14686,h,3,1,0,1.42054,0.665743
25,14723,a,3,1,0,1.40789,1.02038
26,14698,a,0,0,2,0.270757,2.57224
27,14707,h,0,1,2,1.69849,0.74852
28,14728,h,1,1,1,2.53386,0.603749
29,14735,a,1,0,0,0.306287,1.16465
30,14748,h,1,2,2,2.26022,1.4815
31,14755,a,3,1,0,0.529676,0.735767
32,14769,h,0,1,2,1.223,1.58811
33,14783,a,3,1,0,1.56222,1.09704
34,14616,a,1,0,0,0.975408,0.558976
35,14787,h,0,0,1,1.24609,1.391
36,14799,h,3,1,0,0.670997,0.265526
37,14811,a,0,0,5,1.07258,2.88355
