,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14086,h,0,0,3,0.126327,2.16287
1,14097,a,0,3,4,1.55503,1.45254
2,14114,h,0,0,3,0.534675,2.03222
3,14474,a,0,0,1,0.969393,0.89359
4,14482,a,1,1,1,1.35611,1.66363
5,14489,h,0,1,2,1.05258,2.81049
6,14497,h,3,2,0,1.62247,0.482685
7,14514,a,0,0,1,1.84922,1.42614
8,14517,h,0,2,3,1.87028,2.2508
9,14532,a,3,2,1,2.03719,1.27814
10,14540,a,0,0,2,0.287444,3.26328
11,14547,h,1,1,1,1.72509,1.82445
12,14557,h,1,0,0,1.00448,0.462456
13,14571,a,1,1,1,1.10645,1.26725
14,14577,h,1,0,0,0.781855,0.119709
15,14589,a,1,1,1,1.05329,3.14372
16,14617,h,0,0,1,0.46126,1.37939
17,14607,h,0,1,2,0.753669,1.68401
18,14625,a,1,0,0,0.513226,2.29129
19,14640,a,1,2,2,1.52044,0.994664
20,14647,h,0,0,2,0.731288,1.71299
21,14657,h,1,0,0,1.60884,0.943539
22,14669,a,3,2,0,2.55085,0.314075
23,14602,a,1,1,1,0.594471,1.20642
24,14679,h,3,1,0,1.21006,0.977747
25,14687,a,1,0,0,0.813134,0.0880148
26,14757,h,0,0,1,1.1715,1.5519
27,14699,a,3,1,0,1.37047,0.701764
28,14708,h,0,0,3,0.449499,2.72578
29,14718,h,0,1,2,1.47498,1.40706
30,14726,a,0,1,3,1.52172,1.52229
31,14738,h,0,0,1,0.733154,0.428134
32,14745,a,1,1,1,0.839128,2.85573
33,14767,a,0,0,2,0.290042,1.8433
34,14777,h,0,0,2,0.778074,1.65831
35,14792,a,0,1,3,0.875957,2.29146
36,14800,a,1,1,1,0.872643,0.92243
37,14807,h,0,0,2,0.98902,1.60157
