,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14090,a,0,3,4,0.269813,3.15412
1,14097,h,3,4,3,1.45254,1.55503
2,14110,a,3,1,0,1.46641,1.53278
3,14469,h,1,1,1,2.56662,1.41533
4,14478,h,0,0,1,1.08332,0.618191
5,14486,a,3,3,0,2.37695,1.50125
6,14498,h,0,1,4,1.74822,3.07657
7,14508,a,0,1,4,0.847913,1.30169
8,14518,h,1,0,0,1.9617,0.710778
9,14531,a,3,1,0,3.11324,1.29229
10,14538,a,0,1,3,1.0277,4.89472
11,14548,h,0,1,2,1.56644,1.7851
12,14558,h,3,5,2,2.95137,1.44437
13,14570,a,0,2,6,1.63467,4.77743
14,14578,h,3,1,0,2.13271,1.54591
15,14590,a,3,5,0,1.54225,0.43551
16,14599,a,0,0,3,1.15626,2.5286
17,14618,h,0,0,1,0.245193,1.14424
18,14631,a,3,2,1,0.785914,1.1364
19,14643,a,3,3,1,1.8141,1.73432
20,14648,h,0,1,2,1.14303,1.91539
21,14658,h,3,2,0,2.64769,0.370278
22,14665,a,0,2,4,0.77074,2.50614
23,14684,a,0,0,1,2.4793,0.592049
24,14608,h,3,3,0,1.84753,1.47981
25,14691,h,0,0,1,1.00106,0.876255
26,14704,a,0,0,2,1.34971,2.37556
27,14709,h,1,0,0,0.382957,0.971054
28,14718,a,3,2,1,1.40706,1.47498
29,14729,h,3,2,1,2.50597,0.867652
30,14740,a,3,2,1,0.17525,1.98825
31,14749,h,1,1,1,2.59719,1.60043
32,14758,h,1,0,0,0.216834,1.11635
33,14765,a,0,0,2,0.510874,2.52542
34,14778,h,3,3,1,2.55216,1.03384
35,14786,a,3,4,0,1.85654,1.41338
36,14802,a,3,2,0,1.58132,1.3084
37,14808,h,3,3,1,2.49009,1.02209
