,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14092,a,3,3,0,2.95581,0.352997
1,14103,h,3,4,2,0.987365,1.52404
2,14112,a,3,5,2,2.86721,1.44633
3,14470,h,0,0,3,0.456022,2.03227
4,14479,h,0,0,1,0.671595,0.873776
5,14485,a,3,1,0,0.736172,0.73944
6,14498,a,3,4,1,3.07657,1.74822
7,14510,h,3,1,0,2.0545,0.57936
8,14519,a,0,0,3,1.98397,3.77245
9,14532,h,0,1,2,1.27814,2.03719
10,14541,a,3,2,1,1.3904,0.290743
11,14553,h,3,3,0,1.64351,0.791673
12,14559,h,0,0,2,0.83883,1.51486
13,14573,a,3,2,0,1.74772,0.945932
14,14579,h,1,2,2,1.0396,2.08423
15,14594,a,1,1,1,1.72132,0.321348
16,14597,a,3,2,1,0.702081,0.264584
17,14619,h,3,2,0,2.12019,0.378147
18,14609,h,3,2,0,1.1449,0.615727
19,14627,a,1,1,1,0.792045,0.474981
20,14643,h,0,1,3,1.73432,1.8141
21,14647,a,3,2,0,1.71299,0.731288
22,14664,a,1,0,0,0.632232,1.35506
23,14670,h,3,3,1,2.07383,1.68325
24,14676,a,3,2,1,1.23852,1.7084
25,14690,h,0,1,3,0.533575,2.1065
26,14716,a,1,1,1,1.24109,1.26793
27,14696,a,3,2,1,1.03801,0.75471
28,14710,h,3,5,0,4.54571,0.0934777
29,14730,h,0,0,2,0.284781,1.98438
30,14744,a,0,2,3,1.17188,1.02408
31,14750,h,3,3,0,2.6712,0.277126
32,14759,h,3,2,1,1.23419,0.723112
33,14772,a,1,1,1,2.51518,0.954057
34,14779,h,0,2,4,2.315,2.87261
35,14788,a,3,2,1,0.991522,0.212874
36,14797,a,0,1,2,0.832596,2.86149
37,14809,h,0,2,4,1.82554,1.85229
