,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14090,h,3,4,3,3.15412,0.269813
1,14102,a,3,2,0,2.25211,0.904183
2,14115,h,3,3,1,2.73834,1.17817
3,14466,a,0,2,7,1.65705,3.07626
4,14477,a,1,2,2,2.49492,1.35998
5,14490,h,3,2,1,2.40286,1.39788
6,14499,h,3,2,1,1.56302,0.269048
7,14511,a,1,1,1,1.18789,1.58487
8,14519,h,3,3,0,3.77245,1.98397
9,14528,a,1,1,1,0.28109,2.30722
10,14539,h,3,4,0,1.59454,0.357753
11,14547,a,1,1,1,1.82445,1.72509
12,14563,h,3,2,1,1.21783,1.5161
13,14568,a,3,7,0,2.86902,0.489318
14,14580,h,1,1,1,1.45485,0.739845
15,14591,a,1,0,0,1.32047,0.817935
16,14598,a,0,0,1,1.37204,0.500436
17,14620,h,1,0,0,1.20205,1.18929
18,14613,h,0,0,1,1.64907,1.08059
19,14633,a,3,3,1,2.58798,0.104586
20,14639,a,3,3,1,2.05809,0.883061
21,14654,h,0,0,1,1.09518,1.18977
22,14659,h,0,1,4,1.17728,3.55196
23,14670,a,0,1,3,1.68325,2.07383
24,14680,h,0,0,2,1.54046,2.01468
25,14694,a,3,2,0,2.80551,0.777149
26,14719,h,0,0,1,0.247034,1.22635
27,14699,h,0,0,1,0.701764,1.37047
28,14714,a,3,1,0,1.0552,1.29175
29,14725,a,3,3,0,2.43732,0.161161
30,14739,h,3,2,1,2.14592,0.760621
31,14749,a,1,1,1,1.60043,2.59719
32,14760,h,1,1,1,2.84708,0.860694
33,14780,h,3,2,0,2.26367,1.2289
34,14770,a,3,4,2,2.938,1.71328
35,14789,a,3,2,1,2.07854,1.14202
36,14796,a,3,3,0,2.73316,0.837048
37,14810,h,3,2,0,2.20348,0.772317
