,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14105,a,3,3,1,2.07651,0.727677
1,14112,h,0,2,5,1.44633,2.86721
2,14469,a,1,1,1,1.41533,2.56662
3,14480,h,3,1,0,1.43023,0.838322
4,14493,a,1,1,1,0.892456,0.263739
5,14502,a,3,1,0,1.89643,0.687544
6,14511,h,1,1,1,1.58487,1.18789
7,14523,a,0,0,2,1.66325,0.761142
8,14533,h,3,5,0,2.26129,0.419877
9,14540,h,3,2,0,3.26328,0.287444
10,14549,a,1,0,0,1.28434,0.591617
11,14564,h,1,1,1,2.58593,0.210243
12,14572,a,3,1,0,1.15599,0.586972
13,14581,h,3,2,0,3.19575,0.200953
14,14603,a,3,3,1,3.18063,0.691013
15,14614,h,3,1,0,2.90855,0.177084
16,14621,h,3,4,0,0.961088,0.0515836
17,14089,h,3,2,0,3.34385,0.601768
18,14629,a,3,5,0,2.24838,0.568258
19,14642,h,3,1,0,1.53116,0.154537
20,14646,a,3,2,0,2.12153,0.0489155
21,14659,a,3,4,1,3.55196,1.17728
22,14671,h,3,3,0,2.46219,0.4235
23,14593,a,3,3,1,1.23218,1.04664
24,14675,a,3,1,0,2.08868,0.331188
25,14689,h,3,2,1,0.760574,1.92892
26,14720,h,3,4,1,3.26196,0.318824
27,14700,h,0,0,2,1.27561,2.11411
28,14761,h,3,5,2,3.10503,1.60561
29,14708,a,3,3,0,2.72578,0.449499
30,14730,a,3,2,0,1.98438,0.284781
31,14740,h,0,1,2,1.98825,0.17525
32,14746,a,3,2,1,1.5634,0.801733
33,14768,a,3,2,0,2.04443,0.361866
34,14781,h,0,1,2,1.79168,0.619724
35,14791,a,3,4,3,1.477,2.18312
36,14795,a,0,2,3,1.07139,1.22824
37,14811,h,3,5,0,2.88355,1.07258
