,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14098,h,0,1,3,1.09737,1.91456
1,14106,a,3,3,2,1.57583,2.97659
2,14471,h,0,1,6,0.873435,3.3017
3,14481,a,3,4,1,2.21729,0.867496
4,14491,h,1,0,0,0.648427,0.219906
5,14500,h,0,0,1,0.394113,0.998072
6,14509,a,3,3,1,1.59642,0.376464
7,14520,h,3,1,0,2.42994,0.438646
8,14534,a,3,3,2,2.47547,0.498783
9,14544,a,3,3,1,1.78708,2.53006
10,14549,h,1,0,0,0.591617,1.28434
11,14560,a,3,3,2,1.78667,1.23525
12,14570,h,3,6,2,4.77743,1.63467
13,14579,a,1,2,2,2.08423,1.0396
14,14592,h,3,1,0,1.48207,0.411046
15,14596,h,3,2,1,2.46473,1.56434
16,14088,a,3,1,0,1.23996,0.648582
17,14620,a,1,0,0,1.18929,1.20205
18,14607,a,3,2,1,1.68401,0.753669
19,14628,h,0,1,2,0.9931,0.689548
20,14635,a,1,0,0,1.51332,0.747166
21,14651,h,3,9,0,5.0325,0.507893
22,14660,h,1,3,3,1.71769,1.5571
23,14673,a,1,1,1,0.423885,0.945964
24,14681,h,3,3,1,1.7256,0.341778
25,14685,a,1,0,0,0.35954,1.17294
26,14717,a,1,0,0,0.584016,0.742397
27,14700,a,3,2,0,2.11411,1.27561
28,14711,h,3,1,0,1.70128,0.463737
29,14731,h,3,2,1,1.73474,1.41071
30,14742,a,3,3,1,2.09737,0.921801
31,14751,h,3,3,1,2.87455,0.959804
32,14758,a,1,0,0,1.11635,0.216834
33,14776,a,3,3,1,1.88793,0.565472
34,14788,h,0,1,2,0.212874,0.991522
35,14770,h,0,2,4,1.71328,2.938
36,14800,h,1,1,1,0.92243,0.872643
37,14814,a,3,2,1,2.05229,0.701256
