,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14094,h,0,0,2,0.949316,1.61307
1,14104,a,0,0,1,0.849709,0.80527
2,14110,h,0,0,1,1.53278,1.46641
3,14465,a,0,1,2,0.144994,0.667131
4,14482,h,1,1,1,1.66363,1.35611
5,14490,a,0,1,2,1.39788,2.40286
6,14502,h,0,0,1,0.687544,1.89643
7,14507,a,0,1,4,0.743967,2.87622
8,14522,h,0,0,1,0.692374,2.1142
9,14527,a,0,0,1,3.36544,1.71644
10,14541,h,0,1,2,0.290743,1.3904
11,14551,a,0,0,3,0.219115,2.27973
12,14560,h,0,2,3,1.23525,1.78667
13,14565,a,1,1,1,1.03713,2.90097
14,14582,h,0,0,1,1.25106,0.568803
15,14587,a,0,0,1,0.492578,0.973831
16,14604,a,0,0,2,0.323158,0.598888
17,14610,h,3,1,0,2.01315,1.04745
18,14622,h,0,1,3,0.978133,1.28385
19,14628,a,3,2,1,0.689548,0.9931
20,14642,a,0,0,1,0.154537,1.53116
21,14649,h,3,2,1,1.35804,1.61871
22,14662,h,0,1,2,0.623045,1.64144
23,14674,a,0,0,3,0.926652,2.32735
24,14679,a,0,0,1,0.977747,1.21006
25,14694,h,0,0,2,0.777149,2.80551
26,14721,h,3,1,0,0.716254,1.44176
27,14701,h,0,0,2,0.908155,2.37386
28,14710,a,0,0,5,0.0934777,4.54571
29,14729,a,0,1,2,0.867652,2.50597
30,14741,h,0,0,3,0.315121,1.93838
31,14754,a,0,0,1,0.295925,1.22604
32,14762,h,3,1,0,0.786324,2.06038
33,14773,a,0,0,4,0.469026,2.26016
34,14782,h,0,0,2,0.639325,2.25382
35,14787,a,3,1,0,1.391,1.24609
36,14801,a,0,0,1,0.882242,1.82508
37,14812,h,3,1,0,0.420006,0.558508
