,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14087,a,0,0,1,1.26267,1.39569
1,14100,h,0,2,5,2.27708,2.28004
2,14109,a,3,1,0,0.706632,0.347136
3,14473,h,3,2,0,0.949079,0.161283
4,14475,a,1,3,3,1.42348,1.98708
5,14492,h,3,2,0,0.74151,0.287054
6,14495,a,3,4,3,1.00333,2.44855
7,14512,h,3,2,0,0.985828,0.175633
8,14524,a,1,1,1,1.0785,1.57479
9,14534,h,0,2,3,0.498783,2.47547
10,14536,a,3,2,1,1.34801,2.03376
11,14551,h,3,3,0,2.27973,0.219115
12,14555,a,1,1,1,1.11296,0.661135
13,14572,h,0,0,1,0.586972,1.15599
14,14577,a,1,0,0,0.119709,0.781855
15,14588,h,1,0,0,0.670996,1.07246
16,14598,h,3,1,0,0.500436,1.37204
17,14619,a,0,0,2,0.378147,2.12019
18,14632,h,0,1,3,0.99504,2.4339
19,14641,h,0,0,1,2.22557,0.795508
20,14651,a,0,0,9,0.507893,5.0325
21,14661,a,0,2,3,1.43445,0.910553
22,14672,h,0,1,2,0.8536,1.09361
23,14682,h,1,1,1,0.496603,1.44849
24,14608,a,0,0,3,1.47981,1.84753
25,14686,a,0,0,1,0.665743,1.42054
26,14701,a,3,2,0,2.37386,0.908155
27,14761,a,0,2,5,1.60561,3.10503
28,14713,h,0,1,2,1.03495,0.895967
29,14733,h,3,3,2,2.40272,1.50285
30,14743,a,0,0,3,1.5002,2.77089
31,14722,a,0,1,2,1.06134,1.28824
32,14772,h,1,1,1,0.954057,2.51518
33,14780,a,0,0,2,1.2289,2.26367
34,14753,h,3,3,1,1.58872,1.32586
35,14792,h,3,3,1,2.29146,0.875957
36,14802,h,0,0,2,1.3084,1.58132
37,14813,a,0,0,3,1.35179,1.98344
