,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14092,h,0,0,3,0.352997,2.95581
1,14096,a,0,2,5,0.315347,4.16254
2,14108,h,1,3,3,0.911185,2.36046
3,14473,a,0,0,2,0.161283,0.949079
4,14484,h,1,0,0,0.731692,1.08532
5,14487,a,1,1,1,0.295654,0.546807
6,14497,a,0,0,2,0.482685,1.62247
7,14513,h,0,0,1,0.799352,1.87063
8,14520,a,0,0,1,0.438646,2.42994
9,14527,h,3,1,0,1.71644,3.36544
10,14543,h,0,1,5,0.567234,1.68656
11,14550,a,0,1,2,0.57319,0.904163
12,14564,a,1,1,1,0.210243,2.58593
13,14574,h,0,0,3,0.0388442,2.61964
14,14580,a,1,1,1,0.739845,1.45485
15,14590,h,0,0,5,0.43551,1.54225
16,14600,h,0,0,4,0.869874,4.03429
17,14624,a,3,3,2,2.46332,1.94358
18,14611,a,0,1,2,0.464091,2.17512
19,14629,h,0,0,5,0.568258,2.24838
20,14640,h,1,2,2,0.994664,1.52044
21,14649,a,0,1,2,1.61871,1.35804
22,14663,a,0,0,2,0.698686,1.92997
23,14673,h,1,1,1,0.945964,0.423885
24,14678,a,1,0,0,1.71922,0.535153
25,14692,h,3,1,0,0.687091,3.12111
26,14723,h,0,0,1,1.02038,1.40789
27,14703,h,1,0,0,1.46503,0.454577
28,14706,a,0,0,1,0.513439,1.30694
29,14727,a,3,5,2,1.38315,2.55917
30,14743,h,3,3,0,2.77089,1.5002
31,14750,a,0,0,3,0.277126,2.6712
32,14756,a,1,2,2,1.56764,2.65394
33,14774,h,1,1,1,1.07133,0.844138
34,14775,a,0,1,3,1.83076,1.07042
35,14789,h,0,1,2,1.14202,2.07854
36,14804,h,0,1,3,1.10741,3.56991
37,14808,a,0,1,3,1.02209,2.49009
