,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14091,h,0,0,2,0.861445,1.65911
1,14099,a,0,1,2,2.06377,1.32902
2,14113,h,3,4,0,3.05703,0.385152
3,14470,a,3,3,0,2.03227,0.456022
4,14483,a,1,3,3,1.49992,1.77602
5,14493,h,1,1,1,0.263739,0.892456
6,14499,a,0,1,2,0.269048,1.56302
7,14514,h,3,1,0,1.42614,1.84922
8,14522,a,3,1,0,2.1142,0.692374
9,14526,h,3,2,1,0.571633,2.39051
10,14544,h,0,1,3,2.53006,1.78708
11,14548,a,3,2,1,1.7851,1.56644
12,14561,h,1,1,1,0.449469,1.09108
13,14567,a,0,0,3,0.277737,2.41157
14,14583,h,1,2,2,1.38877,1.50551
15,14588,a,1,0,0,1.07246,0.670996
16,14595,a,3,1,0,1.19713,0.371045
17,14623,h,3,1,0,1.73397,0.395668
18,14611,h,3,2,1,2.17512,0.464091
19,14634,a,3,3,2,3.30321,0.629033
20,14639,h,0,1,3,0.883061,2.05809
21,14645,a,3,3,1,1.79064,0.741154
22,14657,a,1,0,0,0.943539,1.60884
23,14674,h,3,3,0,2.32735,0.926652
24,14683,h,3,2,1,1.09246,0.770706
25,14689,a,0,1,2,1.92892,0.760574
26,14704,h,3,2,0,2.37556,1.34971
27,14711,a,0,0,1,0.463737,1.70128
28,14724,h,1,3,3,2.50629,1.35217
29,14734,a,3,3,2,1.59694,1.95649
30,14744,h,3,3,2,1.02408,1.17188
31,14752,a,0,2,3,2.06741,2.4314
32,14763,h,0,0,1,0.267123,2.52059
33,14766,a,3,2,1,2.42477,1.68312
34,14783,h,0,0,1,1.09704,1.56222
35,14785,a,1,1,1,1.92378,0.922587
36,14804,a,3,3,1,3.56991,1.10741
37,14813,h,3,3,0,1.98344,1.35179
