,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22281,a,0,1,5,1.486,4.32208
1,22292,h,3,4,0,3.24336,0.721465
2,22302,a,3,3,1,2.83691,0.630605
3,21933,a,0,0,3,0.615503,2.73138
4,21938,h,3,3,1,2.31518,1.11696
5,21947,a,3,1,0,1.13479,1.19716
6,21955,h,3,6,1,1.90746,1.72819
7,21974,a,1,1,1,1.81618,1.76232
8,21976,h,3,4,1,2.34143,0.659622
9,21987,h,3,3,1,3.07654,0.453117
10,22002,a,0,0,2,1.33116,0.592447
11,22007,h,3,3,1,2.86039,0.648745
12,22024,a,3,2,1,2.39755,2.22542
13,22025,a,1,2,2,0.89511,2.54937
14,22035,h,3,1,0,2.1922,1.00198
15,22045,h,3,1,0,0.628499,1.71667
16,22057,a,3,2,1,1.4664,0.796812
17,22065,h,1,1,1,1.21861,0.646159
18,22082,a,0,2,3,1.83637,1.20104
19,22085,h,3,3,2,2.92587,1.11923
20,22098,a,1,0,0,1.3435,1.03664
21,22105,h,0,1,3,1.44485,3.3224
22,22124,a,3,5,0,2.99015,1.52784
23,22125,h,0,1,2,2.64675,2.44591
24,22138,a,3,2,1,1.57297,1.41796
25,22147,h,3,4,2,3.48861,2.25569
26,22159,a,3,3,2,2.08586,2.43312
27,22167,h,0,0,4,1.23267,2.25381
28,22183,a,1,1,1,0.911274,1.32829
29,22186,h,3,2,0,1.28271,1.66232
30,22204,a,0,1,4,1.18643,3.87704
31,22205,h,1,3,3,1.16333,1.42064
32,22216,a,3,2,0,0.929049,1.89003
33,22225,h,3,3,1,2.62687,2.05211
34,22236,h,1,2,2,0.612257,1.56401
35,22247,a,0,0,1,0.0644055,2.63566
36,22256,h,1,3,3,2.71655,1.89968
37,22270,a,0,0,5,0.598846,2.23189
