,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22277,h,1,1,1,1.51025,1.4834
1,22288,a,0,1,3,1.3867,3.25448
2,22296,h,0,0,2,0.483582,2.26115
3,21928,a,1,2,2,2.11013,3.07185
4,21942,h,1,0,0,1.32515,1.39677
5,21951,a,0,1,3,1.58984,2.14533
6,21959,h,0,0,4,0.644443,4.0742
7,21969,a,0,0,3,0.981732,3.16482
8,21975,h,0,1,2,1.01839,2.30454
9,21985,h,3,2,1,1.10052,0.90255
10,22000,a,0,1,6,0.643127,2.39949
11,22005,h,3,2,0,2.78424,0.306141
12,22023,a,3,3,1,3.13975,0.816227
13,22025,h,1,2,2,2.54937,0.89511
14,22043,a,3,2,0,1.79997,1.26441
15,22051,a,3,3,0,1.9742,1.11296
16,22070,a,3,3,2,1.89067,0.791806
17,22075,h,3,3,0,2.07911,0.324365
18,22092,a,0,1,3,1.58229,2.15027
19,22102,h,0,0,4,0.834585,1.53344
20,22110,a,1,1,1,1.13487,1.3128
21,22115,h,1,1,1,1.1895,0.456548
22,22127,a,0,1,3,2.60612,1.7456
23,22141,a,1,2,2,2.08098,2.38425
24,22145,h,0,0,1,0.925889,1.79636
25,22156,a,3,2,0,1.43616,1.60461
26,22165,h,1,2,2,3.92657,1.91752
27,25861,h,3,4,3,2.84403,2.79419
28,22185,h,3,2,1,1.39268,0.93378
29,22195,h,3,1,0,1.30969,0.174389
30,22210,a,0,1,2,0.616108,1.30478
31,22215,h,1,2,2,2.38519,1.52274
32,22225,a,0,1,3,2.05211,2.62687
33,22184,a,3,1,0,2.40311,0.484454
34,22235,h,3,3,0,2.48132,1.35682
35,22245,a,0,0,3,0.4687,3.91372
36,22255,h,0,1,2,1.07237,1.92722
37,22269,a,0,1,2,2.002,1.59771
