,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22282,h,1,2,2,1.90756,1.45316
1,22287,a,3,3,0,3.46888,0.399899
2,22298,h,1,1,1,0.948011,1.06061
3,21928,h,1,2,2,3.07185,2.11013
4,21943,a,0,0,1,0.633678,1.50126
5,21949,h,0,1,3,1.57402,2.51497
6,21963,a,1,1,1,1.75862,0.800317
7,21972,a,0,1,2,1.02509,1.29356
8,21977,h,3,3,0,3.15685,0.693129
9,21989,a,3,2,0,2.48137,1.71801
10,21995,h,3,3,2,1.82944,1.75505
11,22011,a,0,0,3,1.44954,1.56004
12,22015,h,0,0,1,1.66315,1.82699
13,22027,h,3,3,1,3.25952,0.227176
14,22036,a,0,1,2,1.22007,1.54099
15,22052,a,0,0,1,0.644638,0.841976
16,22057,h,0,1,2,0.796812,1.4664
17,22077,h,0,1,4,2.59347,1.89483
18,22086,a,0,1,3,1.28731,1.61057
19,22104,h,3,3,2,1.94219,1.22251
20,22109,a,0,2,3,1.59637,3.36194
21,22117,h,0,1,3,0.865741,2.10785
22,22134,a,3,2,0,1.84908,1.05781
23,22135,h,0,1,4,1.69518,3.08952
24,22074,a,0,0,1,0.503799,2.53766
25,22153,a,0,2,4,1.33683,2.06873
26,22155,h,1,2,2,2.4732,2.1523
27,22166,a,0,1,2,0.733239,1.59369
28,22177,a,0,1,2,1.25123,2.69776
29,22187,h,1,1,1,3.16487,0.989565
30,22200,h,1,0,0,0.423299,1.22404
31,22205,a,1,3,3,1.42064,1.16333
32,22217,h,3,2,0,1.09071,0.834498
33,22230,a,3,5,1,3.7809,0.497799
34,22237,a,0,0,1,0.956356,1.21399
35,22246,h,1,0,0,0.809379,1.45579
36,22255,a,3,2,1,1.92722,1.07237
37,22266,h,0,2,4,1.70157,3.65044
