,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22278,h,3,4,1,4.36748,1.88594
1,22286,a,3,4,1,3.15562,2.68821
2,22301,h,0,1,3,1.3743,2.9527
3,21931,h,3,3,1,1.32258,0.90476
4,21940,a,3,3,1,1.93908,0.719951
5,21951,h,3,3,1,2.14533,1.58984
6,21955,a,0,1,6,1.72819,1.90746
7,21966,h,1,2,2,2.23187,2.51029
8,21980,a,0,1,2,0.963733,0.962509
9,21988,h,1,1,1,1.31996,0.552523
10,21997,a,1,1,1,0.442489,0.617607
11,22008,h,1,1,1,1.08601,0.84434
12,22022,a,3,3,2,1.21792,2.22655
13,22029,a,0,2,3,0.855058,1.66304
14,22036,h,3,2,1,1.54099,1.22007
15,22046,h,1,1,1,2.96247,1.05162
16,22056,a,0,0,2,0.663054,2.76976
17,22066,a,1,1,1,1.33653,1.65409
18,22078,h,3,4,2,3.84702,2.06955
19,22093,a,1,0,0,2.1552,0.9831
20,22095,h,1,0,0,1.3701,1.14116
21,22107,a,0,0,4,1.01366,3.63312
22,22118,h,3,4,1,1.92591,0.241137
23,22132,a,0,1,2,1.49285,2.10928
24,22143,a,3,5,0,3.35549,0.586214
25,22148,h,1,1,1,1.6538,0.286655
26,22158,a,0,0,3,1.15198,1.37604
27,22168,h,3,1,0,0.534518,0.687034
28,22189,a,0,1,2,0.43922,3.21149
29,22200,a,1,0,0,1.22404,0.423299
30,22206,h,0,0,3,0.428514,4.16518
31,22218,a,1,1,1,0.889445,1.8522
32,22176,h,0,0,4,0.572021,1.90507
33,22235,a,0,0,3,1.35682,2.48132
34,22247,h,3,1,0,2.63566,0.0644055
35,22260,a,1,1,1,1.91556,2.45163
36,22226,h,0,1,2,1.32423,1.544
37,22267,h,0,0,2,1.9717,1.00404
