,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22278,a,0,1,4,1.88594,4.36748
1,22295,a,0,0,3,0.465741,3.41419
2,21925,h,0,1,2,2.02244,1.22528
3,21939,a,0,0,1,1.45705,1.75704
4,21945,h,1,1,1,2.24101,0.762984
5,21956,a,3,2,1,1.5102,3.65377
6,22289,h,0,1,2,1.53058,0.920206
7,21971,h,0,0,1,0.848118,2.37947
8,21982,a,1,2,2,1.49555,3.27549
9,21987,a,0,1,3,0.453117,3.07654
10,21999,h,1,1,1,1.3411,3.03925
11,22012,a,0,0,1,0.408265,2.74105
12,22019,h,3,2,1,0.996153,1.83546
13,22027,a,0,1,3,0.227176,3.25952
14,22039,h,0,3,4,0.526254,2.58815
15,22050,h,0,1,2,0.689037,2.23353
16,22069,h,3,1,0,1.81844,1.41488
17,22084,a,3,3,2,0.715575,3.61788
18,22089,h,0,2,3,2.64093,1.57463
19,22096,a,1,1,1,0.965167,1.52023
20,22107,h,3,4,0,3.63312,1.01366
21,22123,a,1,4,4,2.67463,2.37353
22,22129,h,0,1,3,1.76215,1.98283
23,22139,h,0,1,2,1.57234,3.58973
24,22151,a,0,1,4,0.956512,3.70302
25,22159,h,0,2,3,2.43312,2.08586
26,22170,a,1,1,1,1.08531,3.25103
27,25861,a,0,3,4,2.79419,2.84403
28,22181,h,1,1,1,0.853782,1.95268
29,22194,a,0,1,2,0.402402,2.46523
30,22196,a,0,0,2,0.292082,1.14384
31,22210,h,3,2,1,1.30478,0.616108
32,22221,a,0,1,5,0.809775,4.64245
33,22230,h,0,1,5,0.497799,3.7809
34,22244,a,0,1,2,0.90435,1.49011
35,22252,h,1,1,1,0.950391,1.22959
36,22263,a,0,1,3,0.640456,3.71009
37,22272,h,0,2,4,2.06743,1.11598
