,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22281,h,3,5,1,4.32208,1.486
1,22291,a,0,0,1,0.257154,1.22528
2,22304,h,0,1,2,1.62037,0.856121
3,21931,a,0,1,3,0.90476,1.32258
4,21943,h,3,1,0,1.50126,0.633678
5,21954,a,3,8,0,5.1082,0.579392
6,21958,h,3,2,0,3.08516,0.801849
7,21973,a,1,2,2,1.97865,0.931345
8,21981,h,3,4,0,3.73336,1.08795
9,21994,a,1,2,2,2.31987,0.863393
10,22001,h,3,1,0,1.12355,0.535473
11,22005,a,0,0,2,0.306141,2.78424
12,22021,h,3,4,1,2.15227,0.968061
13,22032,h,3,1,0,2.90191,0.422674
14,22037,a,0,0,3,1.29564,2.95393
15,22053,a,0,1,4,1.61368,4.40118
16,22062,h,3,3,0,4.27933,0.471042
17,22069,a,0,0,1,1.41488,1.81844
18,22083,h,0,1,3,2.79106,3.1074
19,22088,a,0,2,4,0.910974,6.67151
20,22100,h,0,2,3,1.23638,2.55452
21,22105,a,3,3,1,3.3224,1.44485
22,22123,h,1,4,4,2.37353,2.67463
23,22131,a,3,3,2,0.511375,0.968075
24,22141,h,1,2,2,2.38425,2.08098
25,22146,a,0,1,4,0.217373,2.59336
26,22161,h,3,3,0,3.33495,0.507769
27,22169,a,0,2,3,0.568435,1.78315
28,22191,h,3,4,3,3.80922,0.994584
29,22202,h,1,1,1,2.65009,1.69834
30,22209,a,3,1,0,1.18012,0.834564
31,22222,h,3,4,0,3.1483,0.737596
32,22178,a,0,0,2,0.55129,1.43661
33,22240,h,3,5,1,2.93477,1.82408
34,22248,a,3,4,1,4.25643,1.28632
35,22260,h,1,1,1,2.45163,1.91556
36,22231,a,0,2,3,2.27657,1.49706
37,22266,a,3,4,2,3.65044,1.70157
