,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22276,a,0,1,2,0.966305,0.84262
1,22285,h,3,2,1,1.37181,0.551038
2,22300,a,0,2,3,0.960354,3.02803
3,21930,a,3,1,0,1.1505,2.28442
4,21944,h,1,1,1,0.705795,0.807651
5,21946,a,0,0,2,0.729109,1.33984
6,21963,h,1,1,1,0.800317,1.75862
7,21968,a,1,0,0,1.22105,0.982452
8,21982,h,1,2,2,3.27549,1.49555
9,21991,a,0,0,3,0.642014,2.70428
10,22002,h,3,2,0,0.592447,1.33116
11,22013,a,0,2,3,1.42128,2.06402
12,22022,h,0,2,3,2.22655,1.21792
13,22033,h,0,0,1,0.673085,0.623789
14,22038,a,0,0,5,0.218659,3.09427
15,22054,a,1,1,1,1.21801,1.02199
16,22063,h,0,0,2,1.70569,1.60738
17,22070,h,0,2,3,0.791806,1.89067
18,22083,a,3,3,1,3.1074,2.79106
19,22091,h,3,2,1,0.744348,0.651905
20,22104,a,0,2,3,1.22251,1.94219
21,22108,h,0,1,2,0.631618,1.39143
22,22115,a,1,1,1,0.456548,1.1895
23,22131,h,0,2,3,0.968075,0.511375
24,22142,h,3,2,0,2.66942,0.520016
25,22147,a,0,2,4,2.25569,3.48861
26,22162,h,0,0,1,0.971466,1.32259
27,22168,a,0,0,1,0.687034,0.534518
28,22181,a,1,1,1,1.95268,0.853782
29,22192,h,1,1,1,0.784652,0.900972
30,22198,h,3,3,1,1.94619,1.04304
31,22213,a,0,1,3,2.00122,1.61978
32,22223,h,1,2,2,1.76244,1.45688
33,22228,a,0,0,2,1.18916,0.473233
34,22242,h,0,0,2,2.17312,0.932063
35,22254,a,3,3,1,1.93818,2.48986
36,22261,h,0,2,3,2.44569,2.41068
37,22268,a,3,2,1,1.57962,1.08222
