,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22282,a,1,2,2,1.45316,1.90756
1,22290,h,3,2,0,2.53904,2.44604
2,22296,a,3,2,0,2.26115,0.483582
3,21929,a,3,5,2,2.39785,1.66604
4,21936,h,3,2,1,2.15909,0.790655
5,21952,a,1,2,2,2.21166,2.3429
6,21962,h,3,2,1,2.18823,1.12299
7,21971,a,3,1,0,2.37947,0.848118
8,21984,h,3,2,0,1.63523,0.745838
9,21990,a,3,2,1,0.989103,0.561834
10,22004,h,0,1,4,0.959108,4.05865
11,22014,a,0,1,2,0.432315,1.90884
12,22024,h,0,1,2,2.22542,2.39755
13,22031,a,1,3,3,0.433077,2.90729
14,22041,h,0,1,2,1.61268,1.7409
15,22053,h,3,4,1,4.40118,1.61368
16,22063,a,3,2,0,1.60738,1.70569
17,22071,h,3,2,1,1.57527,1.98385
18,22078,a,0,2,4,2.06955,3.84702
19,22092,h,3,3,1,2.15027,1.58229
20,22099,a,1,2,2,1.31224,0.923233
21,22109,h,3,3,2,3.36194,1.59637
22,22121,a,1,2,2,0.922371,3.25881
23,22132,h,3,2,1,2.10928,1.49285
24,22144,h,0,1,2,1.59768,1.77591
25,22164,h,3,3,1,2.6625,0.277887
26,22167,a,3,4,0,2.25381,1.23267
27,22180,a,0,0,3,2.14564,2.47234
28,22194,h,3,2,1,2.46523,0.402402
29,22199,a,1,1,1,1.39423,1.47017
30,22213,h,3,3,1,1.61978,2.00122
31,22222,a,0,0,4,0.737596,3.1483
32,22241,h,0,2,3,2.60458,1.51469
33,22149,a,0,0,2,1.27064,2.22432
34,22251,a,0,2,4,1.17205,3.26222
35,22262,h,3,2,1,3.00238,0.950331
36,22233,h,0,0,2,1.84285,2.70331
37,22274,a,3,3,0,3.19675,0.697312
