,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22284,a,0,0,1,1.72228,1.97087
1,22286,h,0,1,4,2.68821,3.15562
2,22299,a,3,1,0,1.40228,1.89792
3,21932,a,0,2,3,1.13911,2.32935
4,21935,h,0,1,3,0.538833,2.82701
5,21945,a,1,1,1,0.762984,2.24101
6,21961,h,3,2,1,0.673985,0.98075
7,21974,h,1,1,1,1.76232,1.81618
8,21975,a,3,2,1,2.30454,1.01839
9,21994,h,1,2,2,0.863393,2.31987
10,22003,a,0,1,2,1.14803,1.10165
11,22014,h,3,2,1,1.90884,0.432315
12,22018,a,0,2,3,1.57875,2.49057
13,22026,a,0,1,2,1.07886,3.30368
14,22042,h,3,1,0,1.11886,0.781542
15,22054,h,1,1,1,1.02199,1.21801
16,22064,a,0,0,3,0.556206,1.03828
17,22073,h,3,2,1,1.74626,1.75447
18,22077,a,3,4,1,1.89483,2.59347
19,22094,h,3,3,0,2.64477,0.519641
20,22095,a,1,0,0,1.14116,1.3701
21,22111,h,0,3,4,2.27609,3.22698
22,22120,a,3,4,2,2.48996,2.35967
23,22134,h,0,0,2,1.05781,1.84908
24,22144,a,3,2,1,1.77591,1.59768
25,22154,h,3,1,0,1.21618,0.654342
26,22161,a,0,0,3,0.507769,3.33495
27,22174,h,3,2,1,1.29589,2.94155
28,22186,a,0,0,2,1.66232,1.28271
29,22197,a,1,1,1,1.01021,1.12581
30,22214,h,0,1,2,1.78341,1.14133
31,22223,a,1,2,2,1.45688,1.76244
32,22234,h,0,0,2,0.164516,1.66179
33,22184,h,0,0,1,0.484454,2.40311
34,22244,h,3,2,1,1.49011,0.90435
35,22253,a,0,1,5,0.396887,4.52542
36,22264,h,0,1,3,1.1561,2.51452
37,22271,a,0,0,2,0.731254,5.65937
