position,team_title,points,points_h,points_a,goals_per90_h,goals_per90_a,against_per90_h,against_per90_a,xG_per90_h,xG_per90_a,xGa_per90_h,xGa_per90_a,points_pvalue,goals_for_pvalue,goals_against_pvalue,xG_for_pvalue,xG_against_pvalue
1,Manchester_City,91.0,47.0,44.0,2.6842105263157894,2.3684210526315788,0.8421052631578947,0.9473684210526315,2.3823541578947367,2.330738105263158,0.7623256315789473,1.1993283947368423,0.6504839380040763,0.5193136125831953,0.722012151536691,0.8822905692639579,0.06529702835282801
2,Arsenal,89.0,47.0,42.0,2.526315789473684,2.263157894736842,0.8421052631578947,0.6842105263157895,2.495822,1.9458874210526318,0.8045136526315788,0.8682297894736843,0.4864475769229638,0.6399491841115208,0.5750228543397758,0.11419442220343445,0.7454386071887092
3,Liverpool,82.0,48.0,34.0,2.5789473684210527,1.9473684210526316,0.8947368421052632,1.263157894736842,3.131371631578947,1.8573253157894736,0.9864523947368419,1.5082188947368422,0.04701269429323809,0.11260605642541023,0.20190820807040322,0.001764167503783452,0.01124055430706382
4,Aston_Villa,68.0,40.0,28.0,2.526315789473684,1.4736842105263157,1.4736842105263157,1.736842105263158,2.101270315789473,1.4472872368421053,1.5099319999999998,1.9151107368421052,0.14834479879895437,0.025206905893063618,0.565571697195727,0.020142180406444526,0.17452917032345228
5,Tottenham,66.0,39.0,27.0,2.0,1.894736842105263,1.4210526315789473,1.7894736842105263,2.247986210526316,1.6126337894736842,1.6419691052631578,1.9404341578947368,0.16397723592375524,0.7752428783538323,0.3500765645843117,0.014840380327175603,0.3420724727551442
6,Chelsea,63.0,37.0,26.0,2.3157894736842106,1.736842105263158,1.368421052631579,1.9473684210526316,2.5763210526315787,1.680600736842105,1.3604493157894735,1.9343103157894739,0.1870442310181757,0.2267349043550685,0.1801883704559166,0.003342775681563303,0.059640414982047224
7,Manchester_United,60.0,33.0,27.0,1.631578947368421,1.368421052631579,1.4736842105263157,1.5789473684210527,1.8192831578947366,1.355974894736842,1.8394231052631578,2.095358,0.49664489774486964,0.49927650256473266,0.787475580497044,0.1736598903944377,0.39340424418678077
8,Newcastle_United,60.0,40.0,20.0,2.5789473684210527,1.894736842105263,1.1578947368421053,2.1052631578947367,2.7280773684210526,1.7181253684210527,1.334647736842105,1.9524657368421048,0.018930581322212016,0.23639323464964154,0.027716801597100233,0.015005022125676946,0.11906555666465107
9,West_Ham,52.0,29.0,23.0,1.631578947368421,1.5263157894736843,1.4736842105263157,2.4210526315789473,1.4897097368421055,1.3802684210526315,1.6547344210526314,2.445673157894737,0.46975341962720885,0.7737209052251794,0.05996272017750651,0.6592473049464731,0.026672728032060757
10,Crystal_Palace,49.0,28.0,21.0,1.9473684210526316,1.0526315789473684,1.368421052631579,1.6842105263157894,1.6853564210526315,1.1533516842105265,1.1569938210526318,1.8951552631578947,0.3945885777259531,0.03330853011771435,0.47860937177976826,0.04246529239950868,0.007057037358283198
11,Brighton,48.0,30.0,18.0,1.5789473684210527,1.3157894736842106,1.4210526315789473,1.8421052631578947,1.8218138421052632,1.4366283684210526,1.4010691842105263,1.806151052631579,0.1259341550860857,0.5717974519090758,0.32604767658201994,0.2114408542261324,0.21094499650359327
12,Bournemouth,48.0,27.0,21.0,1.4210526315789473,1.4210526315789473,1.4736842105263157,2.0526315789473686,1.6766778421052633,1.6788719473684208,1.4926964736842105,1.9550756315789473,0.47156021344245747,1.0,0.20783586564933249,0.9934491982979079,0.14516448174583377
13,Everton,48.0,28.0,20.0,1.1578947368421053,0.9473684210526315,0.9473684210526315,1.736842105263158,1.891204947368421,1.3063832368421051,1.224634894736842,1.9467910000000002,0.33570536913944804,0.5052910236405914,0.07330362699567233,0.07275829345275417,0.005308843010332562
14,Fulham,47.0,29.0,18.0,1.631578947368421,1.263157894736842,1.263157894736842,1.9473684210526316,1.5642363421052632,1.2151686842105263,1.549294368421053,1.9719757368421054,0.188114667645808,0.4457764756983805,0.11859639803968572,0.1891963806740614,0.16897095272946394
