,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14155,h,3,6,1,3.60448,1.30515
1,14168,a,1,0,0,1.79241,0.631932
2,14816,h,1,0,0,0.610002,0.201508
3,14828,a,3,2,0,1.51399,1.89737
4,14835,h,3,2,0,1.24304,1.01541
5,14851,a,3,3,1,3.06286,1.42768
6,14855,h,3,4,0,2.62556,0.395983
7,14867,h,3,1,0,0.812108,1.29964
8,14882,a,3,1,0,1.10533,0.181436
9,14893,h,3,2,0,1.2755,0.440427
10,14903,a,0,0,2,0.784775,0.6517
11,14908,h,3,3,1,2.10005,0.522281
12,14926,a,3,2,0,0.546595,0.230082
13,14929,h,3,1,0,0.919165,0.941238
14,14937,a,3,2,1,2.31899,0.154899
15,14959,h,3,2,0,0.577443,1.19957
16,14962,a,3,2,1,1.23064,1.27041
17,14973,h,3,3,1,2.05311,0.250249
18,14982,a,3,4,2,1.79542,0.861261
19,14990,h,1,2,2,1.22973,1.71926
20,15003,a,3,2,1,0.929672,0.827088
21,14149,a,1,1,1,1.16962,0.642423
22,15009,h,0,0,2,2.06148,0.767582
23,15027,a,3,2,0,0.839764,1.941
24,15029,h,1,1,1,1.9832,1.88411
25,14948,h,3,2,1,1.53875,0.701495
26,15042,a,1,0,0,1.81829,0.409679
27,15049,h,3,1,0,0.64656,1.1132
28,15066,a,0,0,1,0.551951,1.89943
29,15069,a,1,1,1,1.34136,0.613966
30,15100,h,3,5,0,2.75029,0
31,15079,h,3,2,0,2.32831,1.40665
32,15088,a,0,1,2,0.745334,1.42809
33,15112,a,3,1,0,1.01516,1.38118
34,15120,a,1,0,0,0.685355,0.853587
35,15128,h,3,2,1,1.7908,1.53283
36,15140,h,3,2,1,2.97525,0.673558
37,15156,a,3,2,1,1.2916,0.995635
