,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14156,h,3,4,0,3.50735,0.244835
1,14165,a,3,3,0,0.931689,0.568201
2,14817,h,1,1,1,1.05717,1.25522
3,14830,a,0,0,1,0.62541,1.70992
4,14836,h,0,1,3,1.57351,3.20848
5,14845,a,1,1,1,2.07747,1.11324
6,14856,h,3,5,2,4.44487,0.86991
7,14867,a,0,0,1,1.29964,0.812108
8,14875,h,3,4,0,3.91416,1.56118
9,14885,a,0,1,2,1.71026,2.61118
10,14898,h,3,1,0,2.62077,0.97888
11,14905,h,3,2,1,2.58133,1.82452
12,14909,h,1,2,2,3.2847,1.97181
13,14924,a,3,3,0,3.23865,0.499141
14,14928,h,1,1,1,2.05695,0.592271
15,14942,a,3,1,0,3.21201,0.259005
16,14947,a,3,3,2,1.39939,0.638117
17,14951,a,3,4,0,1.64578,0.490441
18,14972,a,3,2,0,3.12144,0.477298
19,14978,h,3,2,1,2.53148,0.275356
20,14991,a,3,3,2,1.33284,1.87521
21,14998,h,3,5,1,2.86032,0.710997
22,15010,h,1,1,1,2.39005,1.32905
23,14141,h,3,3,0,2.66084,0.351113
24,15026,a,3,2,0,1.58696,0.117061
25,15033,a,3,2,0,1.30761,0.756534
26,15039,h,3,4,1,1.52419,2.19819
27,15054,a,3,6,1,3.3338,0.917148
28,15059,h,3,1,0,1.68796,0.435921
29,15074,a,0,1,2,1.15567,1.64993
30,15080,h,3,5,2,2.15458,1.39543
31,15096,a,3,2,1,3.38056,0.964915
32,15101,h,0,1,2,1.43667,0.811246
33,15109,a,3,3,2,3.98456,1.41404
34,15120,h,1,0,0,0.853587,0.685355
35,15133,a,1,3,3,3.0801,1.27727
36,15141,h,0,1,2,2.10966,0.631271
37,15149,a,3,1,0,0.284589,1.44968
