,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14136,a,1,0,0,0.783653,0.344008
1,14147,h,3,2,1,2.33534,0.456643
2,14162,a,1,1,1,1.08307,1.52483
3,14165,h,0,0,3,0.568201,0.931689
4,14820,a,0,0,2,0.360866,1.12188
5,14828,h,0,0,2,1.89737,1.51399
6,14839,a,1,1,1,0.818389,1.19249
7,14848,h,0,1,4,2.12312,2.27628
8,14864,a,1,1,1,2.15551,1.6055
9,14873,a,0,2,4,2.08172,2.22603
10,14877,h,3,3,1,4.64116,1.49416
11,14892,a,3,2,0,1.20044,0.454057
12,14900,h,3,4,0,1.51712,0.906249
13,14910,h,3,2,0,1.62567,0.404844
14,14919,a,1,1,1,0.767168,0.265652
15,14933,h,3,2,1,2.85208,1.0513
16,14943,a,0,0,2,0.564784,1.24672
17,14949,h,0,0,4,0.363035,2.88163
18,14961,a,0,1,2,0.966752,0.646493
19,14974,h,1,1,1,1.53045,0.591142
20,14983,a,1,0,0,0.339262,0.3242
21,14990,a,1,2,2,1.71926,1.22973
22,14999,h,3,3,1,2.31967,0.836576
23,15015,a,0,0,2,0.689216,1.16675
24,15019,h,1,1,1,0.86079,0.762391
25,15032,a,3,4,3,0.655624,3.13618
26,15040,h,1,0,0,1.18876,0.725139
27,15051,h,0,1,3,0.686996,2.79574
28,15058,a,3,3,1,2.58943,1.868
29,15070,h,0,3,4,2.09186,1.59713
30,15104,a,1,0,0,0.436078,0.322965
31,15086,a,0,1,2,0.504303,2.19014
32,15089,h,3,2,1,0.601898,1.41709
33,15113,h,3,2,0,2.3642,0.976661
34,15127,a,3,4,2,1.98001,2.50872
35,15129,h,3,1,0,0.209945,1.14081
36,15141,a,3,2,1,0.631271,2.10966
37,15148,h,0,2,3,1.21829,2.06863
