,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14136,h,1,0,0,0.344008,0.783653
1,14146,a,0,1,2,1.112,2.99286
2,14158,h,0,1,2,0.325316,0.505645
3,14166,h,0,0,1,1.06052,0.378171
4,14823,a,3,2,1,1.6913,1.09473
5,14829,h,1,0,0,0.371361,1.2646
6,14842,a,3,1,0,0.198368,1.98558
7,14849,h,0,0,2,0.466935,0.932416
8,14858,a,1,1,1,0.839508,2.23211
9,14868,h,1,0,0,1.45225,0.352628
10,14876,a,3,2,0,3.24869,0.51761
11,14894,h,1,0,0,1.09317,0.648196
12,14904,a,1,1,1,1.55401,1.33912
13,14911,h,0,1,3,0.642099,2.35916
14,14917,a,0,1,2,0.786669,1.88686
15,14928,a,1,1,1,0.592271,2.05695
16,14940,h,3,2,0,1.84192,0.917602
17,14953,a,0,1,2,1.34206,0.857988
18,14962,h,0,1,2,1.27041,1.23064
19,14974,a,1,1,1,0.591142,1.53045
20,14980,h,0,0,2,1.02238,1.66557
21,14994,a,0,1,2,1.07628,2.62128
22,15000,h,1,1,1,1.92231,0.968574
23,15017,a,0,0,1,1.66898,0.397175
24,15020,h,1,1,1,1.79661,0.480747
25,15031,a,0,0,1,1.6003,1.6239
26,15041,h,0,1,3,1.32358,2.84919
27,15048,a,1,1,1,0.532399,1.72731
28,15064,a,0,0,2,0.299961,1.96177
29,15071,h,0,0,1,0.360623,0.309936
30,15100,a,0,0,5,0,2.75029
31,15083,a,0,1,4,1.34566,1.76204
32,15090,h,0,0,1,0.729653,0.706358
33,15114,h,3,3,0,1.64332,0.154274
34,15122,a,3,1,0,1.06817,0.767031
35,15130,h,1,1,1,1.10754,0.605825
36,15146,a,0,1,4,2.68303,1.33301
37,15149,h,0,0,1,1.44968,0.284589
