,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14163,h,0,0,3,1.23661,3.3738
1,14166,a,3,1,0,0.378171,1.06052
2,14824,h,1,0,0,0.188885,1.70374
3,14825,a,3,2,0,0.902261,0.90822
4,14844,h,3,2,1,0.165573,1.23519
5,14847,a,0,1,3,0.478252,3.06462
6,14864,h,1,1,1,1.6055,2.15551
7,14871,a,1,1,1,0.832435,0.902091
8,14884,h,1,1,1,0.0867292,0.678171
9,14890,a,1,0,0,0.0544723,0.520422
10,14897,h,0,0,1,0.534289,1.40539
11,14908,a,0,1,3,0.522281,2.10005
12,14922,h,1,2,2,1.25398,1.69506
13,14934,h,1,1,1,1.02416,1.55495
14,14938,a,0,0,1,0.137448,1.38777
15,14957,h,0,1,3,1.21278,3.17089
16,14966,a,1,2,2,0.575886,1.02082
17,14972,h,0,0,2,0.477298,3.12144
18,14985,a,0,0,1,0.328905,3.00838
19,14997,h,1,2,2,1.13518,1.51126
20,14999,a,0,1,3,0.836576,2.31967
21,15017,h,3,1,0,0.397175,1.66898
22,14141,a,0,0,3,0.351113,2.66084
23,15023,a,0,1,2,1.28521,1.45197
24,15037,h,3,2,1,1.0131,0.964034
25,15046,a,0,1,2,0.726991,1.72628
26,14150,a,0,0,2,0.612799,1.95263
27,15052,a,1,1,1,1.38712,1.79357
28,15067,h,1,1,1,0.797759,1.90364
29,15073,a,0,1,3,0.880685,1.09388
30,15106,a,0,0,2,0.699627,0.531975
31,15087,h,1,1,1,1.33615,1.30359
32,15097,h,3,1,0,0.43368,0.236951
33,15112,h,0,0,1,1.38118,1.01516
34,15125,a,0,0,2,0.0778732,2.39443
35,15137,h,0,0,2,0.886211,1.66141
36,15144,a,3,3,1,2.83914,1.07259
37,15157,h,3,2,0,1.33082,0.303264
