,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14145,h,3,1,0,0.702715,0.486466
1,14154,a,1,0,0,1.31111,0.867165
2,14167,h,3,3,0,0.908069,0.442837
3,14821,a,0,0,3,0.315862,2.19684
4,14830,h,3,1,0,1.70992,0.62541
5,14837,h,0,0,1,1.33438,0.949811
6,14853,a,1,2,2,2.35774,1.75934
7,14857,h,0,1,3,0.55465,2.32114
8,14868,a,1,0,0,0.352628,1.45225
9,14878,h,1,1,1,0.536725,0.277502
10,14887,a,0,0,3,0.49433,2.56696
11,14901,h,0,0,1,0.374252,0.507527
12,14912,a,3,2,0,1.10435,0.356498
13,14919,h,1,1,1,0.265652,0.767168
14,14929,a,0,0,1,0.941238,0.919165
15,14941,h,0,0,1,0.768671,1.16924
16,14957,a,3,3,1,3.17089,1.21278
17,14963,h,3,1,0,0.656624,0.712964
18,14969,a,0,1,5,1.29166,1.87633
19,14981,h,1,0,0,0.530765,0.20139
20,14996,a,0,0,3,0.209522,2.03342
21,14142,a,0,0,2,0.0930356,1.86359
22,15001,h,0,0,1,0.263007,1.03317
23,15011,a,0,0,1,0.277079,2.67474
24,15021,h,3,3,0,0.895893,0.173822
25,15036,a,0,1,2,0.971736,1.31724
26,15042,h,1,0,0,0.409679,1.81829
27,15052,h,1,1,1,1.79357,1.38712
28,15063,a,1,0,0,0.316201,0.198501
29,15072,h,0,0,1,2.78378,0.640397
30,15103,h,1,0,0,2.19426,0.618079
31,15080,a,0,2,5,1.39543,2.15458
32,15091,a,3,2,0,0.711933,0.472579
33,15111,a,0,0,1,0.487189,0.184151
34,15122,h,0,0,1,0.767031,1.06817
35,15129,a,0,0,1,1.14081,0.209945
36,15143,h,3,2,1,0.769611,0.441218
37,15150,a,1,0,0,0.46059,0.444987
