,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14137,h,3,2,0,0.545144,0.483337
1,14151,h,3,2,1,2.45453,0.77021
2,14155,a,0,1,6,1.30515,3.60448
3,14818,a,1,1,1,0.820558,1.09095
4,14831,h,3,1,0,1.08721,0.699011
5,14837,a,3,1,0,0.949811,1.33438
6,14850,h,1,1,1,0.230886,0.813588
7,14860,a,0,0,2,0.780649,3.72416
8,14870,h,0,1,3,1.40253,1.45546
9,14877,a,0,1,3,1.49416,4.64116
10,14886,h,1,3,3,1.82994,1.68663
11,14897,a,3,1,0,1.40539,0.534289
12,14913,h,3,2,0,1.38241,1.04957
13,14921,a,0,0,2,0.79963,2.04414
14,14931,h,3,2,1,2.23615,1.27314
15,14940,a,0,0,2,0.917602,1.84192
16,14951,h,0,0,4,0.490441,1.64578
17,14958,h,3,2,0,0.831007,0.624174
18,14967,a,1,2,2,0.135256,2.15885
19,14977,a,0,1,3,0.592689,1.88102
20,14983,h,1,0,0,0.3242,0.339262
21,14993,a,1,2,2,1.26925,1.52404
22,15003,h,0,1,2,0.827088,0.929672
23,15012,a,0,2,3,0.854609,2.47156
24,15023,h,3,2,1,1.45197,1.28521
25,15028,a,0,1,2,1.45524,1.28132
26,15043,h,3,1,0,0.331961,0.306083
27,15055,a,0,1,2,0.924202,1.4357
28,15061,h,0,0,3,1.22939,3.49755
29,15076,a,3,2,1,1.22464,1.19214
30,15083,h,3,4,1,1.76204,1.34566
31,15093,a,0,1,2,0.902764,1.27314
32,15101,a,3,2,1,0.811246,1.43667
33,15115,h,0,0,1,0.924434,1.60276
34,15121,a,0,1,2,2.08496,1.84702
35,15131,h,0,1,4,1.69529,1.39286
36,15138,a,0,2,4,0.841672,2.83763
37,15150,h,1,0,0,0.444987,0.46059
