,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14144,a,0,2,4,2.37179,1.72531
1,14160,a,3,3,1,2.99435,0.724471
2,14171,a,0,0,1,0.375244,1.04729
3,14819,h,0,0,2,0.577329,1.87714
4,14826,a,0,0,2,0.281482,2.07013
5,14839,h,1,1,1,1.19249,0.818389
6,14850,a,1,1,1,0.813588,0.230886
7,14859,h,1,1,1,1.99148,1.01595
8,14871,h,1,1,1,0.902091,0.832435
9,14883,a,1,1,1,1.11009,1.25969
10,14887,h,3,3,0,2.56696,0.49433
11,14898,a,0,0,1,0.97888,2.62077
12,14914,h,3,2,1,1.52776,2.1027
13,14920,a,1,1,1,0.581363,1.36969
14,14930,h,3,4,3,1.67536,2.63943
15,14946,a,0,1,2,0.554357,1.72781
16,14953,h,3,2,1,0.857988,1.34206
17,14964,a,1,2,2,2.00702,0.725743
18,14976,h,1,2,2,1.04736,0.631096
19,14984,a,3,2,1,1.82881,1.23555
20,14993,h,1,2,2,1.52404,1.26925
21,15004,h,0,0,1,1.73006,0.685142
22,14149,h,1,1,1,0.642423,1.16962
23,15009,a,3,2,0,0.767582,2.06148
24,15024,h,1,1,1,1.05928,1.99686
25,15034,a,0,0,1,0.186229,4.95179
26,15044,h,3,1,0,0.853066,0.493596
27,15050,a,0,0,2,0.568605,2.46001
28,15062,h,0,0,2,0.462819,0.857773
29,15071,a,3,1,0,0.309936,0.360623
30,15105,h,0,1,5,0.844482,1.87811
31,15084,h,0,0,1,0.310335,2.05149
32,15097,a,0,0,1,0.236951,0.43368
33,15113,a,0,0,2,0.976661,2.3642
34,15118,a,1,2,2,0.987587,1.32991
35,15133,h,1,3,3,1.27727,3.0801
36,15143,a,0,1,2,0.441218,0.769611
37,15152,h,1,2,2,1.51266,0.424135
