,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14139,a,3,1,0,0.341233,1.17642
1,14153,h,3,2,0,1.76775,0.290702
2,14157,h,0,2,3,1.41465,3.86499
3,14167,a,0,0,3,0.442837,0.908069
4,14822,a,3,2,0,1.87508,0.475219
5,14827,h,0,0,3,0.304528,1.58336
6,14835,a,0,0,2,1.01541,1.24304
7,14847,h,3,3,1,3.06462,0.478252
8,14856,a,0,2,5,0.86991,4.44487
9,14866,a,0,0,4,0.385631,2.75202
10,14876,h,0,0,2,0.51761,3.24869
11,14888,a,3,2,0,1.52162,0.366687
12,14899,h,1,1,1,0.475008,1.10577
13,14913,a,0,0,2,1.04957,1.38241
14,14918,h,3,1,0,0.342496,0.282205
15,14930,a,0,3,4,2.63943,1.67536
16,14939,h,1,1,1,2.03775,0.248156
17,14952,a,3,2,0,2.98435,1.15245
18,14961,h,3,2,1,0.646493,0.966752
19,14970,a,1,2,2,0.638534,2.24597
20,14979,h,3,1,0,1.9333,1.38521
21,14991,h,0,2,3,1.87521,1.33284
22,15007,a,3,2,1,1.35008,1.17957
23,15011,h,3,1,0,2.67474,0.277079
24,15022,a,3,1,0,0.596164,0.227972
25,15030,h,3,3,2,2.01921,0.798216
26,15047,a,0,0,1,0.662923,0.841992
27,15050,h,3,2,0,2.46001,0.568605
28,15067,a,1,1,1,1.90364,0.797759
29,15069,h,1,1,1,0.613966,1.34136
30,15102,h,1,2,2,0.62725,1.61735
31,15081,h,1,0,0,0.244787,0.845575
32,15092,a,1,0,0,0.898058,0.985387
33,15110,a,1,1,1,1.88115,0.76247
34,15121,h,3,2,1,1.84702,2.08496
35,15130,a,1,1,1,0.605825,1.10754
36,15142,h,3,1,0,1.17298,0.249221
37,15148,a,3,3,2,2.06863,1.21829
