,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14140,h,1,1,1,0.858211,0.31178
1,14153,a,0,0,2,0.290702,1.76775
2,14162,h,1,1,1,1.52483,1.08307
3,14169,a,0,0,1,0.540187,2.64599
4,14823,h,0,1,2,1.09473,1.6913
5,14832,a,1,2,2,0.907963,1.25439
6,14843,h,0,0,2,0.305213,2.3128
7,14854,a,0,0,2,0.793913,1.85014
8,14863,h,3,2,1,2.28498,1.57936
9,14870,a,3,3,1,1.45546,1.40253
10,14883,h,1,1,1,1.25969,1.11009
11,14893,a,0,0,2,0.440427,1.2755
12,14896,h,3,3,2,1.87748,1.33403
13,14916,a,1,1,1,0.878614,1.73966
14,14924,h,0,0,3,0.499141,3.23865
15,14932,a,1,0,0,0.299749,0.786846
16,14941,a,3,1,0,1.16924,0.768671
17,14956,h,0,0,1,0.562807,1.09369
18,14966,h,1,2,2,1.02082,0.575886
19,14976,a,1,2,2,0.631096,1.04736
20,14986,h,0,1,3,1.74924,1.18337
21,14988,a,0,0,1,0.0534012,1.60639
22,15000,a,1,1,1,0.968574,1.92231
23,15016,h,0,0,1,0.909714,1.30987
24,15019,a,1,1,1,0.762391,0.86079
25,15036,h,3,2,1,1.31724,0.971736
26,15045,a,1,0,0,0.891,0.467892
27,15056,h,1,1,1,0.809957,1.11252
28,15059,a,0,0,1,0.435921,1.68796
29,15076,h,0,1,2,1.19214,1.22464
30,15087,a,1,1,1,1.30359,1.33615
31,15095,h,1,1,1,3.23903,1.55697
32,15099,a,1,2,2,0.640604,1.73076
33,15110,h,1,1,1,0.76247,1.88115
34,15126,a,0,0,3,0.754813,1.26443
35,15136,h,0,0,2,1.38976,0.600771
36,15145,a,0,1,4,1.04641,1.67996
37,15156,h,0,1,2,0.995635,1.2916
