,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14143,a,1,1,1,0.556003,2.01913
1,14148,h,0,0,2,0.223846,1.50522
2,14161,a,1,1,1,1.10618,0.306092
3,14168,h,1,0,0,0.631932,1.79241
4,14824,a,1,0,0,1.70374,0.188885
5,14832,h,1,2,2,1.25439,0.907963
6,14841,a,0,1,4,0.591473,1.79773
7,14852,a,0,1,4,0.79915,2.23898
8,14858,h,1,1,1,2.23211,0.839508
9,14872,a,1,1,1,0.807899,0.878778
10,14879,h,0,0,1,0.167609,1.69981
11,14886,a,1,3,3,1.68663,1.82994
12,14902,h,3,1,0,0.380766,0.171439
13,14907,a,0,0,2,0.182818,1.51945
14,14920,h,1,1,1,1.36969,0.581363
15,14933,a,0,1,2,1.0513,2.85208
16,14942,h,0,0,1,0.259005,3.21201
17,14952,h,0,0,2,1.15245,2.98435
18,14963,a,0,0,1,0.712964,0.656624
19,14975,h,1,0,0,0.177253,0.484831
20,14986,a,3,3,1,1.18337,1.74924
21,14992,h,0,1,2,0.920971,3.53921
22,15006,a,0,0,1,1.39522,1.329
23,15012,h,3,3,2,2.47156,0.854609
24,15020,a,1,1,1,0.480747,1.79661
25,15032,h,0,3,4,3.13618,0.655624
26,15039,a,0,1,4,2.19819,1.52419
27,15053,h,1,0,0,0.89442,0.734886
28,15062,a,3,2,0,0.857773,0.462819
29,15073,h,3,3,1,1.09388,0.880685
30,15098,a,0,0,1,0.747867,0.316991
31,15079,a,0,0,2,1.40665,2.32831
32,15091,h,0,0,2,0.472579,0.711933
33,15116,h,3,1,0,0.446278,0.298366
34,15123,a,0,1,2,0.43525,0.990604
35,15132,h,3,1,0,1.56368,0.401551
36,15142,a,0,0,1,0.249221,1.17298
37,15151,h,1,0,0,0.974788,0.421299
