,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14159,a,3,3,1,2.2102,1.0983
1,14171,h,3,1,0,1.04729,0.375244
2,14817,a,1,1,1,1.25522,1.05717
3,14831,a,0,0,1,0.699011,1.08721
4,14842,h,0,0,1,1.98558,0.198368
5,14846,a,0,1,2,1.15091,1.32876
6,14861,h,3,1,0,1.151,0.499107
7,14873,h,3,4,2,2.22603,2.08172
8,14879,a,3,1,0,1.69981,0.167609
9,14889,h,0,0,1,0.533909,1.69653
10,14901,a,3,1,0,0.507527,0.374252
11,14916,h,1,1,1,1.73966,0.878614
12,14925,a,3,1,0,1.85011,0.559111
13,14935,h,3,2,0,2.7317,0.346419
14,14939,a,1,1,1,0.248156,2.03775
15,14955,h,3,3,2,2.9243,1.05731
16,14959,a,0,0,2,1.19957,0.577443
17,14960,a,3,2,1,1.03209,1.40643
18,14971,h,3,3,0,2.51675,1.16695
19,14980,a,3,2,0,1.66557,1.02238
20,14996,h,3,3,0,2.03342,0.209522
21,15006,h,3,1,0,1.329,1.39522
22,15013,a,3,2,0,1.05344,0.457508
23,15026,h,0,0,2,0.117061,1.58696
24,15037,a,0,1,2,0.964034,1.0131
25,15047,h,3,1,0,0.841992,0.662923
26,14150,h,3,2,0,1.95263,0.612799
27,15056,a,1,1,1,1.11252,0.809957
28,15066,h,3,1,0,1.89943,0.551951
29,15070,a,3,4,3,1.59713,2.09186
30,15107,a,3,2,1,3.65426,0.292775
31,15084,a,3,1,0,2.05149,0.310335
32,15093,h,3,2,1,1.27314,0.902764
33,15108,h,0,0,1,0.792995,0.6882
34,15124,a,1,2,2,1.07261,0.99637
35,15135,h,3,1,0,0.865705,0.343195
36,15147,a,0,0,4,2.51965,1.60717
37,15155,h,3,1,0,0.35705,0.785012
