,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14143,h,1,1,1,2.01913,0.556003
1,14146,h,3,2,1,2.99286,1.112
2,14156,a,0,0,4,0.244835,3.50735
3,14172,h,3,3,1,2.65908,0.618672
4,14816,a,1,0,0,0.201508,0.610002
5,14834,h,3,2,1,1.59975,0.677588
6,14838,a,1,0,0,0.752296,0.20914
7,14854,h,3,2,0,1.85014,0.793913
8,14857,a,3,3,1,2.32114,0.55465
9,14874,h,1,1,1,1.72712,0.652049
10,14881,a,1,1,1,1.10165,1.91705
11,14890,h,1,0,0,0.520422,0.0544723
12,14899,a,1,1,1,1.10577,0.475008
13,14915,a,3,3,1,2.79417,0.925068
14,14923,h,1,1,1,1.32193,0.910796
15,14935,a,0,0,2,0.346419,2.7317
16,14946,h,3,2,1,1.72781,0.554357
17,14949,a,3,4,0,2.88163,0.363035
18,14967,h,1,2,2,2.15885,0.135256
19,14975,a,1,0,0,0.484831,0.177253
20,14987,h,1,1,1,0.232475,1.16681
21,14997,a,1,2,2,1.51126,1.13518
22,15007,h,0,1,2,1.17957,1.35008
23,15008,a,1,1,1,0.0679965,2.32222
24,15027,h,0,0,2,1.941,0.839764
25,15035,a,0,1,2,1.84626,1.75518
26,15041,a,3,3,1,2.84919,1.32358
27,15057,h,3,2,1,2.50648,0.90665
28,15061,a,3,3,0,3.49755,1.22939
29,15077,h,0,1,2,1.60338,1.29078
30,15105,a,3,5,1,1.87811,0.844482
31,15078,a,0,1,2,1.45071,1.40963
32,15096,h,0,1,2,0.964915,3.38056
33,15111,h,3,1,0,0.184151,0.487189
34,15127,h,0,2,4,2.50872,1.98001
35,15136,a,3,2,0,0.600771,1.38976
36,15147,h,3,4,0,1.60717,2.51965
37,15154,a,0,1,2,0.614418,0.804298
